query,case,seed,runtime_seconds
4a,1,9,0.47
4b,1,9,0.31
5a,1,9,1.69
5b,1,9,1.19
5c,1,9,1.92
6a,1,9,0.83
6b,1,9,0.72
6d,1,9,0.96
10a,1,9,1.60
10b,1,9,1.46
10c,1,9,2.35
15a,1,9,1.28
15b,1,9,1.17
15c,1,9,1.34
15d,1,9,1.17
24a,1,9,3.29
24b,1,9,3.13
1a,2,0,0.85
1b,2,0,0.33
1c,2,0,0.24
1d,2,0,0.52
2a,2,0,0.90
2b,2,0,0.92
2c,2,0,0.79
3a,2,0,1.40
3b,2,0,0.97
3c,2,0,1.65
4a,2,0,0.51
4b,2,0,0.31
5a,2,0,0.39
5b,2,0,0.24
5c,2,0,1.45
6a,2,0,0.56
6b,2,0,0.93
6d,2,0,1.30
10a,2,0,1.88
10b,2,0,1.66
10c,2,0,2.90
15a,2,0,1.65
15b,2,0,1.34
15c,2,0,1.75
15d,2,0,1.56
24a,2,0,2.36
24b,2,0,2.03
1a,2,1,0.86
1b,2,1,0.34
1c,2,1,0.24
1d,2,1,0.52
2a,2,1,0.93
2b,2,1,0.90
2c,2,1,0.81
3a,2,1,1.29
3b,2,1,0.95
3c,2,1,1.54
4a,2,1,0.50
4b,2,1,0.32
5a,2,1,0.41
5b,2,1,0.24
5c,2,1,1.50
6a,2,1,0.57
6b,2,1,0.93
6d,2,1,1.29
10a,2,1,1.86
10b,2,1,1.70
10c,2,1,2.87
15a,2,1,1.39
15b,2,1,1.03
15c,2,1,1.57
15d,2,1,1.39
24a,2,1,2.34
24b,2,1,2.06
1a,2,2,0.15
1b,2,2,0.11
1c,2,2,0.11
1d,2,2,0.12
2a,2,2,0.32
2b,2,2,0.29
2c,2,2,0.09
3a,2,2,1.29
3b,2,2,1.02
3c,2,2,1.55
4a,2,2,0.36
4b,2,2,0.23
5a,2,2,0.07
5b,2,2,0.08
5c,2,2,1.14
6a,2,2,0.47
6b,2,2,0.92
6d,2,2,1.11
10a,2,2,1.84
10b,2,2,1.71
10c,2,2,2.84
15a,2,2,1.62
15b,2,2,1.33
15c,2,2,1.73
15d,2,2,1.55
24a,2,2,2.19
24b,2,2,1.87
1a,2,3,0.14
1b,2,3,0.11
1c,2,3,0.11
1d,2,3,0.12
2a,2,3,0.32
2b,2,3,0.29
2c,2,3,0.09
3a,2,3,1.31
3b,2,3,1.00
3c,2,3,1.55
4a,2,3,0.37
4b,2,3,0.22
5a,2,3,0.08
5b,2,3,0.08
5c,2,3,1.05
6a,2,3,0.56
6b,2,3,0.47
6d,2,3,1.09
10a,2,3,1.60
10b,2,3,1.64
10c,2,3,2.57
15a,2,3,1.62
15b,2,3,1.35
15c,2,3,1.69
15d,2,3,1.53
24a,2,3,2.41
24b,2,3,2.11
1a,2,4,0.85
1b,2,4,0.32
1c,2,4,0.24
1d,2,4,0.53
2a,2,4,0.90
2b,2,4,0.85
2c,2,4,0.83
3a,2,4,1.39
3b,2,4,0.97
3c,2,4,1.64
4a,2,4,0.51
4b,2,4,0.31
5a,2,4,0.39
5b,2,4,0.25
5c,2,4,1.51
6a,2,4,0.56
6b,2,4,0.93
6d,2,4,1.30
10a,2,4,1.89
10b,2,4,1.72
10c,2,4,2.90
15a,2,4,1.35
15b,2,4,1.17
15c,2,4,1.34
15d,2,4,1.16
24a,2,4,2.35
24b,2,4,2.06
