query,case,seed,runtime_seconds
7a,3,,0.15
7b,3,,0.09
7c,3,,0.41
8a,3,,0.17
8b,3,,0.14
8c,3,,0.40
8d,3,,0.22
9a,3,,0.26
9b,3,,0.18
9c,3,,0.23
9d,3,,0.35
10a,3,,0.18
10b,3,,0.16
10c,3,,0.39
11a,3,,0.06
11b,3,,0.06
11c,3,,0.07
11d,3,,0.11
12a,3,,0.08
12b,3,,0.07
12c,3,,0.11
13a,3,,0.11
13b,3,,0.08
13c,3,,0.07
13d,3,,0.17
14a,3,,0.11
14b,3,,0.08
14c,3,,0.13
15a,3,,0.21
15b,3,,0.18
15c,3,,0.28
15d,3,,0.25
16a,3,,0.18
16b,3,,0.56
16c,3,,0.25
16d,3,,0.24
17a,3,,0.29
17b,3,,0.38
17c,3,,0.19
17d,3,,0.24
17e,3,,0.32
17f,3,,0.34
18a,3,,0.28
18b,3,,0.27
18c,3,,0.36
19a,3,,0.30
19b,3,,0.22
19c,3,,0.35
19d,3,,0.40
20a,3,,0.26
20b,3,,0.21
20c,3,,0.27
21a,3,,0.10
21b,3,,0.08
21c,3,,0.11
22a,3,,0.17
22b,3,,0.17
22c,3,,0.23
22d,3,,0.20
23a,3,,0.18
23b,3,,0.17
23c,3,,0.20
24a,3,,0.31
24b,3,,0.18
25a,3,,0.32
25b,3,,0.18
25c,3,,0.36
26a,3,,0.27
26b,3,,0.22
26c,3,,0.27
27a,3,,0.10
27b,3,,0.08
27c,3,,0.10
28a,3,,0.16
28b,3,,0.14
28c,3,,0.20
29a,3,,0.22
29b,3,,0.22
29c,3,,0.28
30a,3,,0.29
30b,3,,0.27
30c,3,,0.34
31a,3,,0.30
31b,3,,0.24
31c,3,,0.34
32a,3,,0.04
32b,3,,0.08
33a,3,,0.08
33b,3,,0.07
33c,3,,0.10
1a,4,,0.06
1b,4,,0.05
1c,4,,0.05
1d,4,,0.05
2a,4,,0.09
2b,4,,0.08
2c,4,,0.04
2d,4,,0.10
3a,4,,0.26
3b,4,,0.26
3c,4,,0.28
4a,4,,0.09
4b,4,,0.07
4c,4,,0.10
5a,4,,0.05
5b,4,,0.09
5c,4,,0.25
6a,4,,0.14
6b,4,,0.11
6c,4,,0.10
6d,4,,0.13
6e,4,,0.11
6f,4,,0.55
7a,4,,0.18
7b,4,,0.16
7c,4,,0.42
8a,4,,0.16
8b,4,,0.14
8c,4,,0.39
8d,4,,0.22
9a,4,,0.21
9b,4,,0.18
9c,4,,0.20
9d,4,,0.32
10a,4,,0.17
10b,4,,0.16
10c,4,,0.41
11a,4,,0.06
11b,4,,0.06
11c,4,,0.08
11d,4,,0.08
12a,4,,0.09
12b,4,,0.07
12c,4,,0.11
13a,4,,0.12
13b,4,,0.09
13c,4,,0.08
13d,4,,0.18
14a,4,,0.09
14b,4,,0.08
14c,4,,0.10
15a,4,,0.21
15b,4,,0.18
15c,4,,0.19
15d,4,,0.14
16a,4,,0.18
16b,4,,0.57
16c,4,,0.30
16d,4,,0.29
17a,4,,0.30
17b,4,,0.39
17c,4,,0.16
17d,4,,0.21
17e,4,,0.34
17f,4,,0.38
18a,4,,0.26
18b,4,,0.27
18c,4,,0.34
19a,4,,0.29
19b,4,,0.22
19c,4,,0.27
19d,4,,0.34
20a,4,,0.26
20b,4,,0.20
20c,4,,0.28
21a,4,,0.10
21b,4,,0.10
21c,4,,0.10
22a,4,,0.17
22b,4,,0.16
22c,4,,0.17
22d,4,,0.17
23a,4,,0.18
23b,4,,0.18
23c,4,,0.20
24a,4,,0.30
24b,4,,0.18
25a,4,,0.31
25b,4,,0.25
25c,4,,0.35
26a,4,,0.26
26b,4,,0.22
26c,4,,0.26
27a,4,,0.10
27b,4,,0.08
27c,4,,0.12
28a,4,,0.15
28b,4,,0.14
28c,4,,0.15
29a,4,,0.21
29b,4,,0.21
29c,4,,0.28
30a,4,,0.29
30b,4,,0.26
30c,4,,0.32
31a,4,,0.30
31b,4,,0.23
31c,4,,0.32
32a,4,,0.04
32b,4,,0.08
33a,4,,0.08
33b,4,,0.07
33c,4,,0.10
