dataset_id,treatment_case,bf_cost_multiplier,model,query_count,query_geomean_adjusted_speedup_vs_baseline,queries_still_faster,queries_now_slower
tpcds_sf100_t1,4,2,direct_add,97,1.35886344,62,34
tpcds_sf100_t1,4,4,cpu_share,97,1.08107771,45,51
tpcds_sf100_t1,4,4,direct_add,97,1.11364613,51,45
tpcds_sf100_t1,4,8,cpu_share,97,0.798634507,19,77
tpcds_sf100_t1,4,8,direct_add,97,0.836393518,22,74
tpcds_sf100_t64,2,1,cpu_share,98,1.05271806,16,16
tpcds_sf100_t64,2,1.5,cpu_share,98,1.04651741,16,74
tpcds_sf100_t64,2,2,cpu_share,98,1.04044888,16,74
tpcds_sf100_t64,2,4,cpu_share,98,1.01748409,11,79
tpcds_sf100_t64,2,8,cpu_share,98,0.976210706,7,83
tpcds_sf100_t64,4,1,cpu_share,98,1.02661464,22,36
tpcds_sf100_t64,4,1.5,cpu_share,98,1.01235023,22,70
tpcds_sf100_t64,4,2,cpu_share,98,0.99865961,22,70
tpcds_sf100_t64,4,4,cpu_share,98,0.949368509,14,78
tpcds_sf100_t64,4,8,cpu_share,98,0.869947351,12,80
tpcds_sf100_t8,2,1,cpu_share,98,1.27996423,60,15
tpcds_sf100_t8,2,1.5,cpu_share,98,1.23453858,57,33
tpcds_sf100_t8,2,2,cpu_share,98,1.19336297,56,34
tpcds_sf100_t8,2,4,cpu_share,98,1.06074859,43,47
tpcds_sf100_t8,2,8,cpu_share,98,0.882568444,12,78
tpcds_sf100_t8,4,1,cpu_share,98,1.35682971,70,17
tpcds_sf100_t8,4,1.5,cpu_share,98,1.25706208,64,30
tpcds_sf100_t8,4,2,cpu_share,98,1.17378013,58,36
tpcds_sf100_t8,4,4,cpu_share,98,0.939892112,38,56
tpcds_sf100_t8,4,8,cpu_share,98,0.690423815,11,83
tpcds_sf10_t1,2,1,cpu_share,98,1.40744792,60,12
tpcds_sf10_t1,2,1,direct_add,98,1.40744792,60,12
tpcds_sf10_t1,2,1.5,cpu_share,98,1.35581044,58,29
tpcds_sf10_t1,2,1.5,direct_add,98,1.36703328,59,28
tpcds_sf10_t1,2,2,cpu_share,98,1.30914581,54,33
tpcds_sf10_t1,2,2,direct_add,98,1.32971569,56,31
tpcds_sf10_t1,2,4,cpu_share,98,1.1583482,47,40
tpcds_sf10_t1,2,4,direct_add,98,1.2040892,52,35
tpcds_sf10_t1,2,8,cpu_share,98,0.958107328,19,68
tpcds_sf10_t1,2,8,direct_add,98,1.02574724,34,53
tpcds_sf10_t1,4,1,cpu_share,98,1.55421638,68,12
tpcds_sf10_t1,4,1,direct_add,98,1.55421638,68,12
tpcds_sf10_t1,4,1.5,cpu_share,98,1.44796502,63,29
tpcds_sf10_t1,4,1.5,direct_add,98,1.46976374,63,29
tpcds_sf10_t1,4,2,cpu_share,98,1.3577977,58,34
tpcds_sf10_t1,4,2,direct_add,98,1.39590842,59,33
tpcds_sf10_t1,4,4,cpu_share,98,1.09996618,44,48
tpcds_sf10_t1,4,4,direct_add,98,1.17238388,47,45
tpcds_sf10_t1,4,8,cpu_share,98,0.817800468,14,78
tpcds_sf10_t1,4,8,direct_add,98,0.907473672,24,68
tpcds_sf10_t64,2,1,cpu_share,98,1.04315563,11,5
tpcds_sf10_t64,2,1.5,cpu_share,98,1.03314176,11,76
tpcds_sf10_t64,2,2,cpu_share,98,1.02343742,11,76
tpcds_sf10_t64,2,4,cpu_share,98,0.987461273,10,77
tpcds_sf10_t64,2,8,cpu_share,98,0.926162468,4,83
tpcds_sf10_t64,4,1,cpu_share,98,1.02230625,14,21
tpcds_sf10_t64,4,1.5,cpu_share,98,0.999302929,13,78
tpcds_sf10_t64,4,2,cpu_share,98,0.977315692,13,78
tpcds_sf10_t64,4,4,cpu_share,98,0.901891592,9,82
tpcds_sf10_t64,4,8,cpu_share,98,0.79060196,6,85
tpcds_sf10_t8,2,1,cpu_share,98,1.25824573,41,1
tpcds_sf10_t8,2,1.5,cpu_share,98,1.21485609,41,46
tpcds_sf10_t8,2,2,cpu_share,98,1.17533755,39,48
tpcds_sf10_t8,2,4,cpu_share,98,1.04704074,27,60
tpcds_sf10_t8,2,8,cpu_share,98,0.873585612,12,75
tpcds_sf10_t8,4,1,cpu_share,98,1.28738975,43,5
tpcds_sf10_t8,4,1.5,cpu_share,98,1.19879671,42,49
tpcds_sf10_t8,4,2,cpu_share,98,1.12394629,40,51
tpcds_sf10_t8,4,4,cpu_share,98,0.910760815,23,68
tpcds_sf10_t8,4,8,cpu_share,98,0.677101723,8,83
tpcds_sf20_t1,2,1,cpu_share,98,1.34212668,58,19
tpcds_sf20_t1,2,1,direct_add,98,1.34212668,58,19
tpcds_sf20_t1,2,1.5,cpu_share,98,1.29216465,57,30
tpcds_sf20_t1,2,1.5,direct_add,98,1.30171481,58,29
tpcds_sf20_t1,2,2,cpu_share,98,1.24709374,56,31
tpcds_sf20_t1,2,2,direct_add,98,1.2645035,56,31
tpcds_sf20_t1,2,4,cpu_share,98,1.10338636,47,40
tpcds_sf20_t1,2,4,direct_add,98,1.14131281,50,37
tpcds_sf20_t1,2,8,cpu_share,98,0.913566243,22,65
tpcds_sf20_t1,2,8,direct_add,98,0.969185995,34,53
tpcds_sf20_t1,4,1,cpu_share,98,1.4832042,69,20
tpcds_sf20_t1,4,1,direct_add,98,1.4832042,69,20
tpcds_sf20_t1,4,1.5,cpu_share,98,1.38020031,64,32
tpcds_sf20_t1,4,1.5,direct_add,98,1.39794988,65,31
tpcds_sf20_t1,4,2,cpu_share,98,1.29367322,59,37
tpcds_sf20_t1,4,2,direct_add,98,1.32452306,59,37
tpcds_sf20_t1,4,4,cpu_share,98,1.04774367,44,52
tpcds_sf20_t1,4,4,direct_add,98,1.10578832,46,50
tpcds_sf20_t1,4,8,cpu_share,98,0.777528474,20,76
tpcds_sf20_t1,4,8,direct_add,98,0.849390754,24,72
tpcds_sf20_t64,2,1,cpu_share,98,1.02687036,11,11
tpcds_sf20_t64,2,1.5,cpu_share,98,1.01806697,10,78
tpcds_sf20_t64,2,2,cpu_share,98,1.00950197,10,78
tpcds_sf20_t64,2,4,cpu_share,98,0.977452688,10,78
tpcds_sf20_t64,2,8,cpu_share,98,0.921962145,6,82
tpcds_sf20_t64,4,1,cpu_share,98,0.904180146,6,67
tpcds_sf20_t64,4,1.5,cpu_share,98,0.885784564,6,89
tpcds_sf20_t64,4,2,cpu_share,98,0.868463901,6,89
tpcds_sf20_t64,4,4,cpu_share,98,0.808730543,5,90
tpcds_sf20_t64,4,8,cpu_share,98,0.718695504,4,91
