dataset_id,benchmark,suite,scale_factor,threads,comparison,query_count,queries_with_paired_success,query_geomean_of_median_speedup,query_median_of_median_speedup,queries_treatment_faster,queries_treatment_slower,queries_tied,queries_at_least_10pct_faster,queries_at_least_2x_faster
tpcds_sf100_t8,TPCDS SF100,tpcds,100,8,full_vs_thc,99,98,1.08543614,1,32,24,42,23,2
tpcds_sf100_t8,TPCDS SF100,tpcds,100,8,thc_vs_baseline,99,98,1.24841075,1.2132967,58,23,17,53,8
tpcds_sf100_t8,TPCDS SF100,tpcds,100,8,thc_vs_forward,99,98,0.972809266,1,4,21,73,0,0
tpcds_sf10_t1,TPCDS SF10,tpcds,10,1,backward_vs_forward,99,98,1.08615026,1,32,16,50,20,1
tpcds_sf10_t1,TPCDS SF10,tpcds,10,1,forward_vs_baseline,99,98,1.40744792,1.25609756,60,12,26,51,11
tpcds_sf10_t1,TPCDS SF10,tpcds,10,1,full_vs_baseline,99,98,1.55421638,1.35908293,68,12,18,61,14
tpcds_sf10_t1,TPCDS SF10,tpcds,10,1,full_vs_thc,99,98,1.09236763,1,33,14,51,21,1
tpcds_sf10_t1,TPCDS SF10,tpcds,10,1,thc_vs_baseline,99,98,1.40138071,1.21044679,61,14,23,51,10
tpcds_sf10_t1,TPCDS SF10,tpcds,10,1,thc_vs_forward,99,98,0.992910373,1,9,10,79,0,0
tpcds_sf10_t64,TPCDS SF10,tpcds,10,64,backward_vs_forward,99,98,0.970774484,1,3,19,76,2,0
tpcds_sf10_t64,TPCDS SF10,tpcds,10,64,forward_vs_baseline,99,98,1.04315563,1,11,5,82,10,2
tpcds_sf10_t64,TPCDS SF10,tpcds,10,64,full_vs_baseline,99,98,1.02230625,1,14,21,63,11,3
tpcds_sf10_t64,TPCDS SF10,tpcds,10,64,full_vs_thc,99,98,0.979722349,1,7,21,70,5,1
tpcds_sf10_t64,TPCDS SF10,tpcds,10,64,thc_vs_baseline,99,98,1.03721092,1,13,9,76,11,2
tpcds_sf10_t64,TPCDS SF10,tpcds,10,64,thc_vs_forward,99,98,0.993019047,1,2,5,91,0,0
tpcds_sf10_t8,TPCDS SF10,tpcds,10,8,backward_vs_forward,99,98,1.01273219,1,11,8,79,7,1
tpcds_sf10_t8,TPCDS SF10,tpcds,10,8,forward_vs_baseline,99,98,1.25824573,1,41,1,56,39,5
tpcds_sf10_t8,TPCDS SF10,tpcds,10,8,full_vs_baseline,99,98,1.28738975,1,43,5,50,39,6
tpcds_sf10_t8,TPCDS SF10,tpcds,10,8,full_vs_thc,99,98,1.02536696,1,11,8,79,8,1
tpcds_sf10_t8,TPCDS SF10,tpcds,10,8,thc_vs_baseline,99,98,1.23723205,1,40,8,50,38,5
tpcds_sf10_t8,TPCDS SF10,tpcds,10,8,thc_vs_forward,99,98,0.989007587,1,2,5,91,0,0
tpcds_sf20_t1,TPCDS SF20,tpcds,20,1,backward_vs_forward,99,98,1.10571389,1,31,23,44,22,3
tpcds_sf20_t1,TPCDS SF20,tpcds,20,1,forward_vs_baseline,99,98,1.34212668,1.26219512,58,19,21,53,9
tpcds_sf20_t1,TPCDS SF20,tpcds,20,1,full_vs_baseline,99,98,1.4832042,1.43339757,69,20,9,64,15
tpcds_sf20_t1,TPCDS SF20,tpcds,20,1,full_vs_thc,99,98,1.11362627,1,33,20,45,24,3
tpcds_sf20_t1,TPCDS SF20,tpcds,20,1,thc_vs_baseline,99,98,1.33614629,1.26219512,59,22,17,54,9
tpcds_sf20_t1,TPCDS SF20,tpcds,20,1,thc_vs_forward,99,98,0.991574547,1,3,16,79,0,0
tpcds_sf20_t64,TPCDS SF20,tpcds,20,64,backward_vs_forward,99,98,0.935612958,0.98935864,2,51,45,1,0
tpcds_sf20_t64,TPCDS SF20,tpcds,20,64,forward_vs_baseline,99,98,1.02687036,1,11,11,76,8,2
tpcds_sf20_t64,TPCDS SF20,tpcds,20,64,full_vs_baseline,99,98,0.904180146,0.890347136,6,67,25,5,2
tpcds_sf20_t64,TPCDS SF20,tpcds,20,64,full_vs_thc,99,98,0.968926153,1,4,33,61,3,1
tpcds_sf20_t64,TPCDS SF20,tpcds,20,64,thc_vs_baseline,99,98,0.934220277,0.96875,6,56,36,4,1
tpcds_sf20_t64,TPCDS SF20,tpcds,20,64,thc_vs_forward,99,98,0.989258181,1,0,13,85,0,0
tpcds_sf20_t8,TPCDS SF20,tpcds,20,8,backward_vs_forward,99,98,1.02462055,1,15,18,65,11,1
tpcds_sf20_t8,TPCDS SF20,tpcds,20,8,forward_vs_baseline,99,98,1.2539415,1,46,9,43,44,3
tpcds_sf20_t8,TPCDS SF20,tpcds,20,8,full_vs_baseline,99,98,1.27925046,1.12685578,53,12,33,50,5
tpcds_sf20_t8,TPCDS SF20,tpcds,20,8,full_vs_thc,99,98,1.03848423,1,17,18,63,13,1
tpcds_sf20_t8,TPCDS SF20,tpcds,20,8,thc_vs_baseline,99,98,1.22670429,1,45,11,42,43,3
tpcds_sf20_t8,TPCDS SF20,tpcds,20,8,thc_vs_forward,99,98,0.985480702,1,2,5,91,0,0
tpcds_sf50_t1,TPCDS SF50,tpcds,50,1,backward_vs_forward,99,98,1.09824121,1,40,29,29,19,4
tpcds_sf50_t1,TPCDS SF50,tpcds,50,1,forward_vs_baseline,99,98,1.39051702,1.37355188,64,23,11,56,11
tpcds_sf50_t1,TPCDS SF50,tpcds,50,1,full_vs_baseline,99,98,1.53003409,1.47802118,71,21,6,62,14
