dataset_id,query,treatment_case,bf_cost_multiplier,model,seed_count,median_adjusted_speedup_vs_baseline,geomean_adjusted_speedup_vs_baseline,seed_win_rate
appian_t1,q05,2,4,cpu_share,20,1.00416237,1.00392013,0.6
appian_t1,q05,2,4,direct_add,20,1.00416237,1.00392013,0.6
appian_t1,q05,2,8,cpu_share,20,1.00416237,1.00392013,0.6
appian_t1,q05,2,8,direct_add,20,1.00416237,1.00392013,0.6
appian_t1,q05,4,1,cpu_share,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,1,direct_add,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,1.5,cpu_share,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,1.5,direct_add,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,2,cpu_share,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,2,direct_add,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,4,cpu_share,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,4,direct_add,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,8,cpu_share,20,1.00628273,1.00704826,0.75
appian_t1,q05,4,8,direct_add,20,1.00628273,1.00704826,0.75
appian_t1,q06,2,1,cpu_share,20,0.996788263,0.996454128,0.35
appian_t1,q06,2,1,direct_add,20,0.996788263,0.996454128,0.35
appian_t1,q06,2,1.5,cpu_share,20,0.996720928,0.996386401,0.35
appian_t1,q06,2,1.5,direct_add,20,0.9967228,0.996388305,0.35
appian_t1,q06,2,2,cpu_share,20,0.996653602,0.996318684,0.35
appian_t1,q06,2,2,direct_add,20,0.996657346,0.996322492,0.35
appian_t1,q06,2,4,cpu_share,20,0.996383589,0.996047907,0.35
appian_t1,q06,2,4,direct_add,20,0.996395541,0.996059325,0.35
appian_t1,q06,2,8,cpu_share,20,0.99583793,0.995506794,0.35
appian_t1,q06,2,8,direct_add,20,0.995865789,0.995533408,0.35
appian_t1,q06,4,1,cpu_share,20,1,0.999503916,0.45
appian_t1,q06,4,1,direct_add,20,1,0.999503916,0.45
appian_t1,q06,4,1.5,cpu_share,20,0.999890177,0.999393237,0.45
appian_t1,q06,4,1.5,direct_add,20,0.999893307,0.999396309,0.45
appian_t1,q06,4,2,cpu_share,20,0.999780379,0.999282583,0.45
appian_t1,q06,4,2,direct_add,20,0.999786637,0.999288725,0.45
appian_t1,q06,4,4,cpu_share,20,0.999341425,0.998840209,0.45
appian_t1,q06,4,4,direct_add,20,0.999360184,0.998858619,0.45
appian_t1,q06,4,8,cpu_share,20,0.998464674,0.997956637,0.45
appian_t1,q06,4,8,direct_add,20,0.998508368,0.997999518,0.45
appian_t1,q07,2,1,cpu_share,20,0.969238153,0.969870517,0
appian_t1,q07,2,1,direct_add,20,0.969238153,0.969870517,0
appian_t1,q07,2,1.5,cpu_share,20,0.969028717,0.969662865,0
appian_t1,q07,2,1.5,direct_add,20,0.969035507,0.969669581,0
appian_t1,q07,2,2,cpu_share,20,0.968819371,0.969455302,0
appian_t1,q07,2,2,direct_add,20,0.968832946,0.969468727,0
appian_t1,q07,2,4,cpu_share,20,0.967982889,0.968625939,0
appian_t1,q07,2,4,direct_add,20,0.968023547,0.968666147,0
appian_t1,q07,2,8,cpu_share,20,0.966314253,0.966971466,0
appian_t1,q07,2,8,direct_add,20,0.966408799,0.967064968,0
appian_t1,q07,4,1,cpu_share,20,0.972344339,0.975003512,0.05
appian_t1,q07,4,1,direct_add,20,0.972344339,0.975003512,0.05
appian_t1,q07,4,1.5,cpu_share,20,0.971881722,0.974534744,0.05
appian_t1,q07,4,1.5,direct_add,20,0.971896851,0.974550212,0.05
appian_t1,q07,4,2,cpu_share,20,0.971419546,0.974066427,0.05
appian_t1,q07,4,2,direct_add,20,0.971449774,0.974097333,0.05
appian_t1,q07,4,4,cpu_share,20,0.969575227,0.972197653,0.05
appian_t1,q07,4,4,direct_add,20,0.969665572,0.972290021,0.05
appian_t1,q07,4,8,cpu_share,20,0.965907521,0.968481538,0.05
appian_t1,q07,4,8,direct_add,20,0.966116761,0.968695445,0.05
appian_t1,q08,2,1,cpu_share,20,0.991951524,0.995512051,0.35
appian_t1,q08,2,1,direct_add,20,0.991951524,0.995512051,0.35
appian_t1,q08,2,1.5,cpu_share,20,0.99183883,0.995401747,0.35
appian_t1,q08,2,1.5,direct_add,20,0.991841247,0.995404188,0.35
appian_t1,q08,2,2,cpu_share,20,0.991726161,0.995291468,0.35
appian_t1,q08,2,2,direct_add,20,0.991730995,0.995296348,0.35
appian_t1,q08,2,4,cpu_share,20,0.991275744,0.994850597,0.35
appian_t1,q08,2,4,direct_add,20,0.991290233,0.994865225,0.35
appian_t1,q08,2,8,cpu_share,20,0.990376136,0.993970027,0.35
appian_t1,q08,2,8,direct_add,20,0.990409883,0.994004097,0.35
appian_t1,q08,4,1,cpu_share,20,1.00052749,0.999063758,0.5
appian_t1,q08,4,1,direct_add,20,1.00052749,0.999063758,0.5
appian_t1,q08,4,1.5,cpu_share,20,1.00032764,0.998866261,0.5
appian_t1,q08,4,1.5,direct_add,20,1.00033195,0.998870596,0.5
appian_t1,q08,4,2,cpu_share,20,1.00012787,0.998668842,0.5
appian_t1,q08,4,2,direct_add,20,1.00013649,0.998677508,0.5
appian_t1,q08,4,4,cpu_share,20,0.99932958,0.997879947,0.5
appian_t1,q08,4,4,direct_add,20,0.999355402,0.997905904,0.5
appian_t1,q08,4,8,cpu_share,20,0.99773682,0.996305892,0.5
appian_t1,q08,4,8,direct_add,20,0.997796883,0.996366269,0.5
appian_t64,q01,2,1,cpu_share,20,1,1,0.3
appian_t64,q01,2,1.5,cpu_share,20,1,1,0.3
