dataset_id,query,seed,comparison,runtime_speedup,profile_latency_speedup,cpu_time_reduction,cumulative_cardinality_reduction,normalized_cumulative_cardinality_reduction,peak_memory_reduction,hash_join_timing_reduction,rows_scanned_reduction,treatment_create_bf_count,treatment_use_bf_count,treatment_bf_timing,treatment_bf_cpu_fraction,treatment_thc_instantiated_count,treatment_thc_frozen_count,treatment_thc_abandoned_count,join_signature_match
appian_t1,q01,12,full_vs_baseline,1.00367647,1.00428853,1.00263687,1,1,1,0.999974522,1,0,0,0,0,0,0,0,1
appian_t1,q01,13,thc_vs_forward,0.98540146,0.984552052,0.98495819,1,1,1,0.979027708,1,0,0,0,0,1,0,0,1
appian_t1,q01,13,backward_vs_forward,1,0.997933611,0.998408275,1,1,1,0.998234977,1,0,0,0,0,0,0,0,1
appian_t1,q01,13,full_vs_baseline,1.01111111,1.01053907,1.01142456,1,1,1,1.01604279,1,0,0,0,0,0,0,0,1
appian_t1,q01,14,thc_vs_forward,0.985454545,0.987192049,0.986551505,1,1,1,0.976857957,1,0,0,0,0,1,0,0,1
appian_t1,q01,14,backward_vs_forward,1,1.00098235,0.999491205,1,1,1,0.99897906,1,0,0,0,0,0,0,0,1
appian_t1,q01,14,full_vs_baseline,1.00369004,1.00504344,1.00512948,1,1,1,1.00695391,1,0,0,0,0,0,0,0,1
appian_t1,q01,15,thc_vs_forward,0.989169675,0.990425365,0.991654822,1,1,1,0.982656275,1,0,0,0,0,1,0,0,1
appian_t1,q01,15,backward_vs_forward,1.01107011,1.01204842,1.01239156,1,1,1,1.01258573,1,0,0,0,0,0,0,0,1
appian_t1,q01,15,full_vs_baseline,1.01107011,1.01244412,1.01230926,1,1,1,1.01407132,1,0,0,0,0,0,0,0,1
appian_t1,q01,16,thc_vs_forward,0.985559567,0.982660805,0.982710734,1,1,1,0.974295013,1,0,0,0,0,1,0,0,1
appian_t1,q01,16,backward_vs_forward,1.00367647,1.00177699,1.00175436,1,1,1,1.00215193,1,0,0,0,0,0,0,0,1
appian_t1,q01,16,full_vs_baseline,1,1.00081818,1.00152313,1,1,1,1.00183346,1,0,0,0,0,0,0,0,1
