dataset_id,comparison,pair_count,aggregation,normalized_cardinality_query_count,memory_query_count,cpu_query_count,hash_join_query_count,rows_scanned_query_count,pearson_log_latency_vs_log_normalized_cardinality_reduction,spearman_log_latency_vs_log_normalized_cardinality_reduction,pearson_log_latency_vs_log_memory_reduction,spearman_log_latency_vs_log_memory_reduction,pearson_log_latency_vs_log_cpu_reduction,spearman_log_latency_vs_log_cpu_reduction,pearson_log_latency_vs_log_hash_join_reduction,spearman_log_latency_vs_log_hash_join_reduction,pearson_log_latency_vs_log_rows_scanned_reduction,spearman_log_latency_vs_log_rows_scanned_reduction
tpcds_sf10_t64,full_vs_baseline,1920,seed_pairs,,,,,,0.728084992,0.505838808,0.509990379,0.504954359,0.906297497,0.681258052,0.531093126,0.296785164,0.102709135,0.257272885
tpcds_sf10_t64,thc_vs_forward,1920,seed_pairs,,,,,,0.504346351,0.133044148,-0.0521113238,0.0724158196,0.857425023,0.712638185,0.647594719,0.43465961,0.160042252,0.142247071
tpcds_sf10_t8,backward_vs_forward,1920,seed_pairs,,,,,,0.791733431,0.284872759,0.527840079,0.367397043,0.955566956,0.757974891,0.688687588,0.497567216,0.112434716,0.126774303
tpcds_sf10_t8,full_vs_baseline,1920,seed_pairs,,,,,,0.823006428,0.74637481,0.686708079,0.365541005,0.982252412,0.947770085,0.648210232,0.792580125,0.25584069,0.408105682
tpcds_sf10_t8,thc_vs_forward,1920,seed_pairs,,,,,,0.644787527,0.111082916,0.226945066,-0.0104172127,0.991410314,0.876107756,0.923232708,0.637040631,0.163013874,0.218491578
tpcds_sf20_t1,backward_vs_forward,1920,seed_pairs,,,,,,0.829186254,0.141918512,0.434997414,0.137244936,0.999347411,0.998117241,0.717765442,0.69504049,0.142105311,0.120431031
tpcds_sf20_t1,full_vs_baseline,1907,seed_pairs,,,,,,0.855037942,0.69544416,0.537203409,0.401083625,0.999558785,0.999379422,0.628627813,0.835111377,0.328519994,0.372522614
tpcds_sf20_t1,thc_vs_forward,1920,seed_pairs,,,,,,,,-0.0137028758,-0.0633075134,0.999328798,0.996367463,0.902011204,0.708539719,,
tpcds_sf20_t64,backward_vs_forward,1920,seed_pairs,,,,,,0.646696192,0.251304739,0.278949632,0.320275922,0.750594324,0.74225678,0.267908583,0.0792916339,0.0179749145,0.108408681
tpcds_sf20_t64,full_vs_baseline,1920,seed_pairs,,,,,,0.815663297,0.307917128,0.400265397,0.349733109,0.935003739,0.747672414,0.506967348,0.100393989,0.0983052239,0.235499731
tpcds_sf20_t64,thc_vs_forward,1920,seed_pairs,,,,,,0.199992212,0.0157460471,-0.000252899195,-0.0420228605,0.945348871,0.900527434,0.243388304,0.101295058,0.0194082217,0.0219187419
tpcds_sf20_t8,backward_vs_forward,1920,seed_pairs,,,,,,0.813784235,0.172476934,0.353804416,0.23488027,0.960622476,0.792036063,0.67573037,0.454026292,0.0976497127,0.0363452599
tpcds_sf20_t8,full_vs_baseline,1920,seed_pairs,,,,,,0.917424192,0.703357809,0.608397555,0.399379654,0.991078983,0.978569528,0.674906078,0.806084468,0.199224652,0.30957616
tpcds_sf20_t8,thc_vs_forward,1920,seed_pairs,,,,,,0.602025489,0.0969204013,0.120590841,-0.114388479,0.990613475,0.894184503,0.940667208,0.658511533,0.170331154,0.208139171
tpcds_sf50_t1,backward_vs_forward,1917,seed_pairs,,,,,,0.833726817,0.131747085,0.47864903,0.22874364,0.999640419,0.998640935,0.688802029,0.646151206,0.129661434,0.0422535035
tpcds_sf50_t1,full_vs_baseline,1901,seed_pairs,,,,,,0.851010198,0.701584671,0.517428811,0.385448068,0.999698465,0.999407778,0.621514141,0.818416437,0.33451243,0.389155255
tpcds_sf50_t1,thc_vs_forward,1917,seed_pairs,,,,,,,,-0.00238248803,-0.00910810746,0.999202249,0.997242754,0.934582085,0.755110574,,
tpcds_sf50_t64,backward_vs_forward,1920,seed_pairs,,,,,,0.712655837,0.272916517,0.451198826,0.534018339,0.712738495,0.625039839,0.350471286,0.126861613,0.0606501625,0.194951434
tpcds_sf50_t64,full_vs_baseline,1920,seed_pairs,,,,,,0.842295504,0.41534621,0.622654814,0.652602974,0.947402832,0.72010188,0.530541526,0.295009256,0.105324348,0.28276453
tpcds_sf50_t64,thc_vs_forward,1920,seed_pairs,,,,,,0.373874634,0.017495136,-0.0171395459,-0.0165604014,0.887329241,0.7829467,0.580859148,0.34846161,0.00252949832,0.0629161446
tpcds_sf50_t8,backward_vs_forward,1920,seed_pairs,,,,,,0.808760916,0.190211987,0.382848394,0.292443552,0.974534646,0.800283366,0.684994214,0.513838696,0.0955955672,0.0394598239
tpcds_sf50_t8,full_vs_baseline,1914,seed_pairs,,,,,,0.898311747,0.712134907,0.58074665,0.415809664,0.99220666,0.974140559,0.643530097,0.791980077,0.212275294,0.28173991
tpcds_sf50_t8,thc_vs_forward,1920,seed_pairs,,,,,,0.597292727,0.137771784,0.24183316,-0.052605268,0.997998287,0.931749102,0.951391039,0.714236381,0.0771563844,0.229783506
tpch_sf100_t1,backward_vs_forward,394,seed_pairs,,,,,,0.510693227,0.39637637,0.0792592867,-0.154608959,0.999847481,0.998891479,0.773145739,0.783276934,0.181522015,0.221417365
tpch_sf100_t1,full_vs_baseline,394,seed_pairs,,,,,,0.819049464,0.769421131,0.643878245,0.230349229,0.999922533,0.999087678,0.880262006,0.894570259,0.163031727,-0.0335911867
tpch_sf100_t1,thc_vs_forward,394,seed_pairs,,,,,,,,-0.195718097,-0.10987262,0.999942453,0.999510289,0.857432058,0.859166265,,
tpch_sf100_t64,backward_vs_forward,394,seed_pairs,,,,,,0.102221267,0.0135221137,0.43917819,0.133123001,0.842161573,0.784806889,0.217623942,0.0933183176,-0.0098781318,-0.184260345
tpch_sf100_t64,full_vs_baseline,394,seed_pairs,,,,,,0.414881525,0.30514229,0.658426211,0.392218942,0.911120922,0.743382548,0.34221481,0.305400507,0.129172901,-0.0153073155
tpch_sf100_t64,thc_vs_forward,394,seed_pairs,,,,,,0.0440996129,-0.0219139901,0.0610902158,0.208130636,0.986905131,0.965953698,0.385965196,0.556912681,0.00101942218,0.0580111334
tpch_sf100_t8,backward_vs_forward,394,seed_pairs,,,,,,0.667985175,0.480530939,0.447305911,0.361426047,0.999475091,0.995195887,0.771886799,0.744301737,0.481249744,0.332224689
tpch_sf100_t8,full_vs_baseline,394,seed_pairs,,,,,,0.85076894,0.80462882,0.709757761,0.409609438,0.999750494,0.996808637,0.849877378,0.848911957,0.216016726,0.0530384024
tpch_sf100_t8,thc_vs_forward,394,seed_pairs,,,,,,0.757800363,0.124280971,0.756726253,0.0629644866,0.999858857,0.999266022,0.806100658,0.819098439,0.716651806,0.265436799
tpch_sf10_t1,backward_vs_forward,394,seed_pairs,,,,,,0.451901916,0.407841786,0.0606034426,-0.0335503753,0.999918148,0.999697266,0.764705605,0.819379003,0.197203336,0.172009177
tpch_sf10_t1,full_vs_baseline,394,seed_pairs,,,,,,0.804097101,0.805860981,0.625105296,0.200058296,0.999941087,0.999534617,0.872200305,0.86832088,0.159378428,-0.112052516
tpch_sf10_t1,thc_vs_forward,394,seed_pairs,,,,,,,,0.0946639166,0.043592356,0.999951353,0.999708645,0.939917481,0.953349719,,
tpch_sf10_t64,backward_vs_forward,398,seed_pairs,,,,,,-0.202042591,-0.467033243,0.558683187,0.419386988,0.411472104,0.161997941,-0.333852225,-0.327946145,-0.0634044675,-0.0222240283
tpch_sf10_t64,full_vs_baseline,394,seed_pairs,,,,,,0.22310508,-0.0619297862,0.725595274,0.58476375,0.742364121,0.387846394,0.0447638018,-0.147901683,0.0661532701,0.331495441
tpch_sf10_t64,thc_vs_forward,398,seed_pairs,,,,,,0.0371321646,0.153677166,-0.00901973435,-0.0216922862,0.977065328,0.866050961,0.544163695,0.817669625,0.0044390552,0.0704500583
tpch_sf10_t8,backward_vs_forward,394,seed_pairs,,,,,,0.59168398,0.39380836,0.31532723,0.149522896,0.987448863,0.985583933,0.794259143,0.781595515,0.489918308,0.269337736
tpch_sf10_t8,full_vs_baseline,394,seed_pairs,,,,,,0.830459623,0.805952522,0.655499429,0.288640401,0.992227645,0.984122255,0.833500051,0.861680939,0.204940461,-0.0435559317
tpch_sf10_t8,thc_vs_forward,394,seed_pairs,,,,,,0.684656362,-0.00924451067,0.677714736,0.0313523815,0.999218786,0.993361432,0.903087343,0.927370309,0.684657721,0.212111588
tpch_sf20_t1,backward_vs_forward,394,seed_pairs,,,,,,0.451991666,0.378385134,0.065748754,-0.0304150692,0.999899614,0.999636837,0.759308876,0.795072184,0.192717824,0.197682765
tpch_sf20_t1,full_vs_baseline,394,seed_pairs,,,,,,0.800759971,0.797746849,0.646309916,0.261697276,0.999937745,0.999707861,0.87307329,0.871146725,0.157533462,-0.0912745927
tpch_sf20_t1,thc_vs_forward,394,seed_pairs,,,,,,,,1.59208806e-06,-0.04979005,0.99995004,0.999747885,0.942749246,0.942040257,,
tpch_sf20_t64,backward_vs_forward,394,seed_pairs,,,,,,-0.0322396828,-0.28502712,0.579575692,0.561254904,0.792830879,0.677544656,0.10284782,-0.0306892498,0.0567194667,0.146381264
tpch_sf20_t64,full_vs_baseline,394,seed_pairs,,,,,,0.229625383,0.129329372,0.724821001,0.695677395,0.861919519,0.703986309,0.168634717,0.0873550646,0.0594988019,0.131851872
tpch_sf20_t64,thc_vs_forward,394,seed_pairs,,,,,,0.0208057694,0.0717217907,-0.0688622991,0.100850192,0.947661272,0.912130209,0.578739839,0.84122883,0.0328083728,0.130447126
tpch_sf20_t8,backward_vs_forward,394,seed_pairs,,,,,,0.531537982,0.395451652,0.318746366,0.177320749,0.995315948,0.981009176,0.723430226,0.737082619,0.378797246,0.311814494
tpch_sf20_t8,full_vs_baseline,394,seed_pairs,,,,,,0.818144869,0.796652956,0.68937662,0.291372608,0.997560105,0.987529828,0.837132584,0.838286835,0.196031981,-0.0260877799
tpch_sf20_t8,thc_vs_forward,394,seed_pairs,,,,,,0.480734582,0.0855748471,0.426882713,0.0137048631,0.999498888,0.994929646,0.828944775,0.908408718,0.426349533,0.193878466
tpch_sf50_t1,backward_vs_forward,394,seed_pairs,,,,,,0.491161872,0.428109366,0.0855099337,-0.0756863029,0.999866945,0.99958092,0.765828328,0.781776802,0.186937828,0.210827644
tpch_sf50_t1,full_vs_baseline,394,seed_pairs,,,,,,0.81092102,0.758751814,0.647979325,0.232877316,0.999925248,0.999389038,0.878359698,0.881998261,0.159680165,-0.0909937989
tpch_sf50_t1,thc_vs_forward,394,seed_pairs,,,,,,,,-0.116011389,-0.0341988827,0.999962049,0.999613097,0.826954599,0.829598779,,
tpch_sf50_t64,backward_vs_forward,394,seed_pairs,,,,,,0.32854032,0.130790092,0.751463083,0.565104566,0.878123989,0.782294765,0.365591346,0.188809826,0.276005035,0.223267642
tpch_sf50_t64,full_vs_baseline,394,seed_pairs,,,,,,0.506187736,0.389343025,0.798187032,0.702398694,0.94713731,0.896411189,0.39316604,0.321093433,0.107309205,0.190569658
tpch_sf50_t64,thc_vs_forward,394,seed_pairs,,,,,,0.153750822,0.0739266786,0.0696579927,0.0773312984,0.973558839,0.914267202,0.517230176,0.790909639,0.154532124,0.236360193
tpch_sf50_t8,backward_vs_forward,394,seed_pairs,,,,,,0.560031108,0.389288803,0.332301621,0.274941199,0.998606994,0.974381595,0.730564599,0.716475708,0.344832954,0.247038886
tpch_sf50_t8,full_vs_baseline,394,seed_pairs,,,,,,0.838806706,0.792210539,0.706583268,0.37400676,0.999477035,0.996373862,0.835138529,0.851048754,0.140645361,-0.0378388309
tpch_sf50_t8,thc_vs_forward,394,seed_pairs,,,,,,0.609847376,0.0813483857,0.608745154,0.0797775085,0.999407532,0.996016781,0.805017824,0.796264874,0.610115826,0.212115056
all_t8,backward_vs_forward,600,per_query_median_fractional_reduction,600,600,600,584,600,0.672714279,0.360575995,0.302372248,0.355255134,0.90143724,0.849840805,0.498001515,0.634381893,0.115126974,0.182504349
