dataset_id,benchmark,suite,scale_factor,threads,query,case,case_name,success_count,timeout_count,oom_count,completion_rate,min_runtime,median_runtime_success,p10_runtime_success,p90_runtime_success,iqr_runtime_success,cv_runtime_success,p90_p50,median_capped_runtime,median_regret,p90_regret,within_10pct_oracle_rate,bad_plan_rate_over_2x,best_seed
job_t1,job,job,,1,15a,2,Forward-only,20,0,0,1,0.89,0.9,0.89,1.011,0.0175,0.0473154366,1.12333333,0.9,0.0112359551,0.135955056,0.85,0,2
job_t1,job,job,,1,15a,3,THC,20,0,0,1,0.88,0.905,0.889,1.01,0.04,0.0484430043,1.1160221,0.905,0.0284090909,0.147727273,0.85,0,2
job_t1,job,job,,1,15a,4,RPT+,20,0,0,1,0.81,0.83,0.81,0.852,0.02,0.0229055886,1.02650602,0.83,0.024691358,0.0518518519,1,0,0
job_t1,job,job,,1,15b,1,Baseline,20,0,0,1,0.59,1.38,0.774,1.56,0.54,0.266864815,1.13043478,1.38,1.33898305,1.6440678,0.1,0.65,1
job_t1,job,job,,1,15b,2,Forward-only,20,0,0,1,0.6,0.71,0.62,0.792,0.13,0.0984994621,1.11549296,0.71,0.183333333,0.32,0.35,0,1
job_t1,job,job,,1,15b,3,THC,20,0,0,1,0.61,0.69,0.629,0.8,0.1325,0.0956264045,1.15942029,0.69,0.131147541,0.31147541,0.35,0,10
job_t1,job,job,,1,15b,4,RPT+,20,0,0,1,0.61,0.665,0.61,0.72,0.09,0.0697339572,1.08270677,0.665,0.0901639344,0.180327869,0.5,0,10
job_t1,job,job,,1,15c,1,Baseline,20,0,0,1,0.77,1.51,0.79,1.776,0.7375,0.290197942,1.17615894,1.51,0.961038961,1.30649351,0.2,0.3,1
job_t1,job,job,,1,15c,2,Forward-only,20,0,0,1,0.79,0.86,0.8,1.102,0.155,0.120230489,1.28139535,0.86,0.0886075949,0.394936709,0.55,0,10
job_t1,job,job,,1,15c,3,THC,20,0,0,1,0.79,0.855,0.809,1.113,0.1625,0.124943717,1.30175439,0.855,0.082278481,0.408860759,0.55,0,1
job_t1,job,job,,1,15c,4,RPT+,20,0,0,1,0.69,0.71,0.699,0.753,0.04,0.037958203,1.06056338,0.71,0.0289855072,0.0913043478,0.9,0,4
job_t1,job,job,,1,15d,1,Baseline,20,0,0,1,0.6,0.92,0.628,1.112,0.33,0.207710397,1.20869565,0.92,0.533333333,0.853333333,0.15,0.1,1
job_t1,job,job,,1,15d,2,Forward-only,20,0,0,1,0.63,0.73,0.639,0.931,0.1625,0.139383546,1.27534247,0.73,0.158730159,0.477777778,0.4,0,1
job_t1,job,job,,1,15d,3,THC,20,0,0,1,0.6,0.725,0.629,0.922,0.1575,0.142591354,1.27172414,0.725,0.208333333,0.536666667,0.3,0,1
job_t1,job,job,,1,15d,4,RPT+,20,0,0,1,0.48,0.515,0.49,0.571,0.03,0.0602018302,1.10873786,0.515,0.0729166667,0.189583333,0.65,0,4
job_t1,job,job,,1,16a,1,Baseline,20,0,0,1,3.18,6.27,3.255,187.805,137.8,1.40997775,29.9529506,6.27,0.971698113,58.0581761,0.2,0.5,19
job_t1,job,job,,1,16a,2,Forward-only,20,0,0,1,0.94,1.26,1.061,1.442,0.26,0.126057028,1.14444444,1.26,0.340425532,0.534042553,0.1,0,17
job_t1,job,job,,1,16a,3,THC,20,0,0,1,0.94,1.28,1.071,1.434,0.29,0.127801522,1.1203125,1.28,0.361702128,0.525531915,0.1,0,17
job_t1,job,job,,1,16a,4,RPT+,20,0,0,1,0.83,0.92,0.849,0.99,0.1025,0.0614875462,1.07608696,0.92,0.108433735,0.192771084,0.5,0,6
job_t1,job,job,,1,16b,1,Baseline,17,3,0,0.85,17.32,148.14,23.676,235.684,156.97,0.778329918,1.5909545,167.66,7.55311778,12.6076212,0.05,0.65,0
job_t1,job,job,,1,16b,2,Forward-only,20,0,0,1,3.04,4.73,3.429,7.879,2.4625,0.304492959,1.66575053,4.73,0.555921053,1.59177632,0.05,0.3,13
job_t1,job,job,,1,16b,3,THC,20,0,0,1,3.21,4.87,3.479,7.85,2.38,0.314082439,1.61190965,4.87,0.517133956,1.44548287,0.15,0.3,13
job_t1,job,job,,1,16b,4,RPT+,20,0,0,1,2.46,4.295,2.867,7.813,2.535,0.351372318,1.81909197,4.295,0.745934959,2.17601626,0.05,0.4,13
job_t1,job,job,,1,16c,1,Baseline,20,0,0,1,10.53,20.405,13.439,188.749,125.8175,1.2002664,9.25013477,20.405,0.937796771,16.9248813,0.1,0.45,13
job_t1,job,job,,1,16c,2,Forward-only,20,0,0,1,1.5,2.54,1.697,4.339,1.695,0.366528843,1.70826772,2.54,0.693333333,1.89266667,0.1,0.4,3
job_t1,job,job,,1,16c,3,THC,20,0,0,1,1.51,2.6,1.746,4.771,1.785,0.378015426,1.835,2.6,0.721854305,2.15960265,0.1,0.4,3
job_t1,job,job,,1,16c,4,RPT+,20,0,0,1,1.18,2.215,1.21,4.088,1.71,0.422327875,1.84559819,2.215,0.877118644,2.46440678,0.15,0.45,3
job_t1,job,job,,1,16d,1,Baseline,20,0,0,1,9.49,19.67,11.778,190.772,127.9025,1.22807038,9.69862735,19.67,1.07270811,19.1024236,0.1,0.55,13
job_t1,job,job,,1,16d,2,Forward-only,20,0,0,1,1.45,2.45,1.63,4.255,1.745,0.379478719,1.73673469,2.45,0.689655172,1.93448276,0.1,0.4,3
job_t1,job,job,,1,16d,3,THC,20,0,0,1,1.43,2.49,1.656,4.693,1.8525,0.396283396,1.88473896,2.49,0.741258741,2.28181818,0.1,0.4,3
job_t1,job,job,,1,16d,4,RPT+,20,0,0,1,1.13,2.16,1.13,4.128,1.7225,0.443629523,1.91111111,2.16,0.911504425,2.65309735,0.15,0.45,3
job_t1,job,job,,1,17a,1,Baseline,20,0,0,1,3.38,23.84,3.846,147.933,107.77,1.19816821,6.20524329,23.84,6.05325444,42.7671598,0.1,0.85,2
job_t1,job,job,,1,17a,2,Forward-only,20,0,0,1,1.31,2.085,1.628,2.896,0.75,0.353346181,1.38896882,2.085,0.591603053,1.21068702,0.05,0.2,2
job_t1,job,job,,1,17a,3,THC,20,0,0,1,1.35,2.25,1.644,3.325,0.7,0.337023386,1.47777778,2.25,0.666666667,1.46296296,0.05,0.2,2
job_t1,job,job,,1,17a,4,RPT+,20,0,0,1,1.31,2.055,1.464,2.837,0.695,0.375544656,1.38053528,2.055,0.56870229,1.16564885,0.1,0.15,6
job_t1,job,job,,1,17b,1,Baseline,19,1,0,0.95,1.76,8.5,2.596,123.312,67.705,1.19943141,14.5072941,12.525,3.82954545,69.0636364,0.05,0.75,18
job_t1,job,job,,1,17b,2,Forward-only,20,0,0,1,1.13,1.455,1.228,3.253,1.26,0.476053696,2.23573883,1.455,0.287610619,1.87876106,0.15,0.35,2
job_t1,job,job,,1,17b,3,THC,20,0,0,1,1.13,1.475,1.247,3.292,1.165,0.474313309,2.23186441,1.475,0.305309735,1.91327434,0.1,0.35,2
job_t1,job,job,,1,17b,4,RPT+,20,0,0,1,1.34,1.785,1.395,3.257,0.9375,0.394267689,1.82464986,1.785,0.332089552,1.43059701,0.25,0.2,18
job_t1,job,job,,1,17c,1,Baseline,19,1,0,0.95,1.57,7.62,1.638,122.074,67.685,1.2276579,16.02021,12.18,3.85350318,76.7541401,0.25,0.75,18
job_t1,job,job,,1,17c,2,Forward-only,20,0,0,1,0.76,0.95,0.806,1.094,0.105,0.113790488,1.15157895,0.95,0.25,0.439473684,0.15,0,16
job_t1,job,job,,1,17c,3,THC,20,0,0,1,0.77,0.94,0.828,1.121,0.0975,0.110194516,1.19255319,0.94,0.220779221,0.455844156,0.2,0,12
job_t1,job,job,,1,17c,4,RPT+,20,0,0,1,0.72,0.765,0.729,0.792,0.0425,0.0674980026,1.03529412,0.765,0.0625,0.1,0.9,0,0
job_t1,job,job,,1,17d,1,Baseline,19,1,0,0.95,2.3,14.3,2.46,140.058,119.26,1.17879391,9.79426573,15.43,5.2173913,59.8947826,0.2,0.75,18
job_t1,job,job,,1,17d,2,Forward-only,20,0,0,1,1.18,1.355,1.271,1.545,0.13,0.0829520168,1.1402214,1.355,0.148305085,0.309322034,0.15,0,12
job_t1,job,job,,1,17d,3,THC,20,0,0,1,1.19,1.37,1.271,1.543,0.135,0.0819193204,1.12627737,1.37,0.151260504,0.296638655,0.25,0,12
job_t1,job,job,,1,17d,4,RPT+,20,0,0,1,1.05,1.18,1.12,1.242,0.07,0.0618187498,1.05254237,1.18,0.123809524,0.182857143,0.45,0,18
job_t1,job,job,,1,17e,1,Baseline,18,2,0,0.9,12.07,126.995,20.411,264.923,154.4775,0.824725059,2.08609,127.67,9.52154101,20.9488815,0.05,0.7,0
job_t1,job,job,,1,17e,2,Forward-only,20,0,0,1,2.43,3.635,2.756,6.394,1.655,0.571178517,1.75900963,3.635,0.495884774,1.63127572,0.1,0.25,13
job_t1,job,job,,1,17e,3,THC,20,0,0,1,2.44,3.91,2.805,7.228,1.9775,0.617547271,1.84859335,3.91,0.602459016,1.96229508,0.1,0.3,13
job_t1,job,job,,1,17e,4,RPT+,20,0,0,1,2.16,3.135,2.328,6.388,1.48,0.655120789,2.03763955,3.135,0.451388889,1.95740741,0.15,0.25,6
job_t1,job,job,,1,17f,1,Baseline,19,1,0,0.95,6.62,30.11,20.192,200.7,97.66,0.969162805,6.66555961,31.935,3.54833837,29.3172205,0.05,0.95,18
job_t1,job,job,,1,17f,2,Forward-only,20,0,0,1,1.8,2.005,1.876,2.398,0.3575,0.195331721,1.19600998,2.005,0.113888889,0.332222222,0.45,0.05,2
job_t1,job,job,,1,17f,3,THC,20,0,0,1,1.83,2.01,1.858,2.491,0.3175,0.220673918,1.23930348,2.01,0.0983606557,0.361202186,0.55,0.05,2
job_t1,job,job,,1,17f,4,RPT+,20,0,0,1,1.52,1.805,1.557,2.693,0.4425,0.299969396,1.49196676,1.805,0.1875,0.771710526,0.2,0.05,6
job_t1,job,job,,1,18a,1,Baseline,20,0,0,1,1.41,2.015,1.569,8.161,1.085,0.94600712,4.05012407,2.015,0.429078014,4.78794326,0.05,0.2,2
job_t1,job,job,,1,18a,2,Forward-only,20,0,0,1,1.38,1.54,1.41,1.695,0.2525,0.0807362601,1.10064935,1.54,0.115942029,0.22826087,0.45,0,9
job_t1,job,job,,1,18a,3,THC,20,0,0,1,1.41,1.51,1.419,1.72,0.19,0.0753326759,1.13907285,1.51,0.0709219858,0.219858156,0.6,0,9
job_t1,job,job,,1,18a,4,RPT+,20,0,0,1,1.31,1.39,1.359,1.46,0.0825,0.0323665479,1.05035971,1.39,0.0610687023,0.114503817,0.7,0,11
job_t1,job,job,,1,18b,1,Baseline,20,0,0,1,1.65,2.935,1.753,3.75,1.11,0.244517825,1.27768313,2.935,0.778787879,1.27272727,0.15,0.45,6
job_t1,job,job,,1,18b,2,Forward-only,20,0,0,1,0.95,1.525,0.969,1.647,0.605,0.221873449,1.08,1.525,0.605263158,0.733684211,0.35,0,12
job_t1,job,job,,1,18b,3,THC,20,0,0,1,0.94,1.535,0.958,1.681,0.6225,0.2279966,1.09511401,1.535,0.632978723,0.788297872,0.35,0,2
job_t1,job,job,,1,18b,4,RPT+,20,0,0,1,1.45,1.55,1.478,1.64,0.12,0.0435872599,1.05806452,1.55,0.0689655172,0.131034483,0.55,0,4
job_t1,job,job,,1,18c,1,Baseline,20,0,0,1,2.39,3.835,2.618,4.567,1.23,0.206067896,1.19087353,3.835,0.60460251,0.910878661,0.15,0.1,2
job_t1,job,job,,1,18c,2,Forward-only,20,0,0,1,1.75,2.085,1.85,2.611,0.5725,0.141630834,1.25227818,2.085,0.191428571,0.492,0.3,0,9
