dataset_id,benchmark,threads,query,baseline_best_seed,case1_runtime_on_baseline_best_seed,case2_runtime_on_baseline_best_seed,case3_runtime_on_baseline_best_seed,case4_runtime_on_baseline_best_seed,case1_status_on_baseline_best_seed,case2_status_on_baseline_best_seed,case3_status_on_baseline_best_seed,case4_status_on_baseline_best_seed,case2_speedup_vs_baseline_on_anchor,case3_speedup_vs_baseline_on_anchor,case4_speedup_vs_baseline_on_anchor,case1_own_best_runtime,case2_own_best_runtime,case3_own_best_runtime,case4_own_best_runtime,case1_own_best_seed,case2_own_best_seed,case3_own_best_seed,case4_own_best_seed
tpcds_sf10_t1,TPCDS SF10,1,Q14,0,20.65,20.77,21.89,20.88,success,success,success,success,0.994222436,0.943353129,0.988984674,20.65,20.77,20.98,20.88,0,0,15,0
tpcds_sf10_t1,TPCDS SF10,1,Q15,0,0.21,0.21,0.21,0.21,success,success,success,success,1,1,1,0.21,0.21,0.21,0.21,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q16,0,0.21,0.21,0.21,0.21,success,success,success,success,1,1,1,0.21,0.21,0.21,0.21,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q17,1,1.85,1.13,1.13,1.23,success,success,success,success,1.63716814,1.63716814,1.50406504,1.85,1.13,1.13,1.23,1,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q18,1,0.72,0.51,0.52,0.52,success,success,success,success,1.41176471,1.38461538,1.38461538,0.72,0.51,0.51,0.52,1,1,6,0
tpcds_sf10_t1,TPCDS SF10,1,Q19,2,1.23,0.93,0.93,0.82,success,success,success,success,1.32258065,1.32258065,1.5,1.23,0.82,0.82,0.82,2,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q20,0,0.21,0.21,0.21,0.21,success,success,success,success,1,1,1,0.21,0.21,0.21,0.21,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q21,0,0.41,0.21,0.31,0.31,success,success,success,success,1.95238095,1.32258065,1.32258065,0.41,0.21,0.31,0.31,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q22,2,11.78,12.2,11.89,12.1,success,success,success,success,0.96557377,0.990748528,0.973553719,11.78,11.68,11.79,11.89,2,10,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q23,14,11.47,12.09,12.19,12.08,success,success,success,success,0.948717949,0.940935193,0.949503311,11.47,11.78,11.47,11.68,14,2,13,11
tpcds_sf10_t1,TPCDS SF10,1,Q24,18,2.56,1.85,1.95,1.95,success,success,success,success,1.38378378,1.31282051,1.31282051,2.56,1.23,1.23,1.23,18,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q25,1,1.64,1.03,1.03,1.13,success,success,success,success,1.59223301,1.59223301,1.45132743,1.64,1.03,1.03,1.03,1,1,1,3
tpcds_sf10_t1,TPCDS SF10,1,Q26,0,0.41,0.31,0.31,0.31,success,success,success,success,1.32258065,1.32258065,1.32258065,0.41,0.31,0.31,0.31,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q27,0,3.89,2.87,2.87,2.87,success,success,success,success,1.3554007,1.3554007,1.3554007,3.89,2.56,2.56,2.56,0,6,6,1
tpcds_sf10_t1,TPCDS SF10,1,Q28,0,3.38,3.38,3.38,3.38,success,success,success,success,1,1,1,3.38,3.38,3.38,3.38,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q29,1,2.15,1.54,1.54,1.64,success,success,success,success,1.3961039,1.3961039,1.31097561,2.15,1.44,1.44,1.44,1,11,11,3
tpcds_sf10_t1,TPCDS SF10,1,Q30,0,0.31,0.31,0.41,0.31,success,success,success,success,1,0.756097561,1,0.31,0.31,0.31,0.31,0,0,1,0
tpcds_sf10_t1,TPCDS SF10,1,Q31,0,2.05,1.54,1.44,1.44,success,success,success,success,1.33116883,1.42361111,1.42361111,2.05,1.44,1.44,1.44,0,5,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q32,0,0.11,0.11,0.11,0.11,success,success,success,success,1,1,1,0.11,0.11,0.11,0.11,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q33,2,1.23,0.93,0.93,0.93,success,success,success,success,1.32258065,1.32258065,1.32258065,1.23,0.92,0.93,0.93,2,9,1,0
tpcds_sf10_t1,TPCDS SF10,1,Q34,0,1.74,1.03,1.03,1.03,success,success,success,success,1.68932039,1.68932039,1.68932039,1.74,1.03,1.03,1.03,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q35,2,2.05,2.15,2.26,1.85,success,success,success,success,0.953488372,0.907079646,1.10810811,2.05,2.05,2.26,1.74,2,0,0,4
tpcds_sf10_t1,TPCDS SF10,1,Q36,2,1.95,1.44,1.44,1.64,success,success,success,success,1.35416667,1.35416667,1.18902439,1.95,1.23,1.23,1.44,2,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q37,6,0.51,0.51,0.51,0.41,success,success,success,success,1,1,1.24390244,0.51,0.51,0.51,0.41,6,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q38,15,2.77,2.97,2.97,2.56,success,success,success,success,0.932659933,0.932659933,1.08203125,2.77,2.87,2.87,2.56,15,8,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q39,1,0.92,0.93,0.93,0.93,success,success,success,success,0.989247312,0.989247312,0.989247312,0.92,0.92,0.93,0.93,1,3,1,0
tpcds_sf10_t1,TPCDS SF10,1,Q40,0,0.31,0.21,0.21,0.11,success,success,success,success,1.47619048,1.47619048,2.81818182,0.31,0.21,0.21,0.11,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q41,1,0.1,0.11,0.11,0.11,success,success,success,success,0.909090909,0.909090909,0.909090909,0.1,0.11,0.11,0.11,1,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q42,1,0.92,0.62,0.62,0.62,success,success,success,success,1.48387097,1.48387097,1.48387097,0.92,0.62,0.52,0.52,1,0,0,2
tpcds_sf10_t1,TPCDS SF10,1,Q43,1,1.64,1.03,1.03,1.03,success,success,success,success,1.59223301,1.59223301,1.59223301,1.64,0.92,0.92,1.03,1,2,2,0
tpcds_sf10_t1,TPCDS SF10,1,Q44,4,92.83,95.89,92.98,86.46,success,success,success,success,0.968088435,0.99838675,1.07367569,92.83,92,91.67,84.83,4,17,11,3
tpcds_sf10_t1,TPCDS SF10,1,Q45,1,0.51,0.41,0.41,0.41,success,success,success,success,1.24390244,1.24390244,1.24390244,0.51,0.41,0.41,0.31,1,0,0,2
tpcds_sf10_t1,TPCDS SF10,1,Q46,2,2.36,1.64,1.64,1.64,success,success,success,success,1.43902439,1.43902439,1.43902439,2.36,1.64,1.54,1.54,2,0,8,3
tpcds_sf10_t1,TPCDS SF10,1,Q47,12,3.9,4,4.2,4.1,success,success,success,success,0.975,0.928571429,0.951219512,3.9,4,4,4,12,6,7,2
tpcds_sf10_t1,TPCDS SF10,1,Q48,4,1.95,2.05,2.05,2.46,success,success,success,success,0.951219512,0.951219512,0.792682927,1.95,2.05,2.05,2.26,4,4,4,5
tpcds_sf10_t1,TPCDS SF10,1,Q49,5,1.23,1.13,1.13,1.13,success,success,success,success,1.08849558,1.08849558,1.08849558,1.23,1.13,1.13,1.13,5,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q50,8,3.49,1.33,1.33,1.23,success,success,success,success,2.62406015,2.62406015,2.83739837,3.49,1.33,1.33,1.23,8,2,2,2
tpcds_sf10_t1,TPCDS SF10,1,Q51,4,9.52,9.83,9.73,9.32,success,success,success,success,0.968463886,0.978417266,1.02145923,9.52,9.62,9.43,9.22,4,3,3,12
tpcds_sf10_t1,TPCDS SF10,1,Q52,1,0.92,0.62,0.62,0.62,success,success,success,success,1.48387097,1.48387097,1.48387097,0.92,0.52,0.62,0.52,1,6,0,4
tpcds_sf10_t1,TPCDS SF10,1,Q53,0,1.03,0.82,0.82,0.82,success,success,success,success,1.25609756,1.25609756,1.25609756,1.03,0.72,0.72,0.72,0,7,1,5
tpcds_sf10_t1,TPCDS SF10,1,Q55,3,0.92,0.62,0.62,0.62,success,success,success,success,1.48387097,1.48387097,1.48387097,0.92,0.62,0.62,0.52,3,0,0,8
tpcds_sf10_t1,TPCDS SF10,1,Q56,6,1.23,0.93,0.93,0.93,success,success,success,success,1.32258065,1.32258065,1.32258065,1.23,0.92,0.92,0.82,6,9,3,13
tpcds_sf10_t1,TPCDS SF10,1,Q57,4,1.54,1.64,1.64,1.64,success,success,success,success,0.93902439,0.93902439,0.93902439,1.54,1.64,1.64,1.64,4,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q58,0,3.38,3.48,3.48,3.49,success,success,success,success,0.971264368,0.971264368,0.968481375,3.38,3.38,3.48,3.38,0,4,0,11
tpcds_sf10_t1,TPCDS SF10,1,Q59,6,3.28,3.38,3.28,3.38,success,success,success,success,0.970414201,1,0.970414201,3.28,3.28,3.28,3.28,6,0,6,0
tpcds_sf10_t1,TPCDS SF10,1,Q60,0,1.44,1.03,1.03,1.13,success,success,success,success,1.39805825,1.39805825,1.27433628,1.44,1.03,1.03,1.13,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q61,2,2.05,1.44,1.44,1.34,success,success,success,success,1.42361111,1.42361111,1.52985075,2.05,1.33,1.34,1.33,2,1,0,3
tpcds_sf10_t1,TPCDS SF10,1,Q62,0,0.82,0.82,0.82,0.82,success,success,success,success,1,1,1,0.82,0.82,0.82,0.82,0,0,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q63,0,1.03,0.82,0.82,0.82,success,success,success,success,1.25609756,1.25609756,1.25609756,1.03,0.72,0.72,0.72,0,1,4,4
tpcds_sf10_t1,TPCDS SF10,1,Q64,6,3.59,3.38,4,2.26,success,success,success,success,1.06213018,0.8975,1.58849558,3.59,2.87,2.77,2.26,6,0,12,6
tpcds_sf10_t1,TPCDS SF10,1,Q65,8,5.02,5.13,5.13,4.82,success,success,success,success,0.978557505,0.978557505,1.04149378,5.02,4.92,5.02,4.61,8,4,1,1
tpcds_sf10_t1,TPCDS SF10,1,Q66,8,0.72,0.52,0.52,0.52,success,success,success,success,1.38461538,1.38461538,1.38461538,0.72,0.51,0.52,0.52,8,11,0,0
tpcds_sf10_t1,TPCDS SF10,1,Q67,8,18.24,19.27,18.76,19.38,success,success,success,success,0.94654904,0.97228145,0.941176471,18.24,18.35,18.25,18.56,8,6,15,11
