dataset_id,query,case,k,expected_best_capped_runtime,sampled_oracle_capped_runtime
appian_t1,q06,1,5,7.67377451,7.65
appian_t1,q06,1,10,7.65660217,7.65
appian_t1,q06,1,20,7.65,7.65
appian_t1,q06,2,1,7.77,7.67
appian_t1,q06,2,2,7.73915789,7.67
appian_t1,q06,2,3,7.72417544,7.67
appian_t1,q06,2,5,7.70725813,7.67
appian_t1,q06,2,10,7.68819719,7.67
appian_t1,q06,2,20,7.67,7.67
appian_t1,q06,3,1,9.5825,9.4
appian_t1,q06,3,2,9.52031579,9.4
appian_t1,q06,3,3,9.49085088,9.4
appian_t1,q06,3,5,9.4585952,9.4
appian_t1,q06,3,10,9.42578958,9.4
appian_t1,q06,3,20,9.4,9.4
appian_t1,q06,4,1,7.7465,7.6
appian_t1,q06,4,2,7.70284211,7.6
appian_t1,q06,4,3,7.68276316,7.6
appian_t1,q06,4,5,7.66031282,7.6
appian_t1,q06,4,10,7.63273344,7.6
appian_t1,q06,4,20,7.6,7.6
appian_t1,q07,1,1,7.755,7.63
appian_t1,q07,1,2,7.70368421,7.63
appian_t1,q07,1,3,7.6842193,7.63
appian_t1,q07,1,5,7.66594234,7.63
appian_t1,q07,1,10,7.64756251,7.63
appian_t1,q07,1,20,7.63,7.63
appian_t1,q07,2,1,7.9955,7.91
appian_t1,q07,2,2,7.96821053,7.91
appian_t1,q07,2,3,7.95544737,7.91
appian_t1,q07,2,5,7.941141,7.91
appian_t1,q07,2,10,7.92407478,7.91
appian_t1,q07,2,20,7.91,7.91
appian_t1,q07,3,1,8.422,8.25
appian_t1,q07,3,2,8.37026316,8.25
appian_t1,q07,3,3,8.34549123,8.25
appian_t1,q07,3,5,8.31695498,8.25
appian_t1,q07,3,10,8.28062645,8.25
appian_t1,q07,3,20,8.25,8.25
appian_t1,q07,4,1,7.9535,7.85
appian_t1,q07,4,2,7.91757895,7.85
appian_t1,q07,4,3,7.90032456,7.85
appian_t1,q07,4,5,7.8820614,7.85
appian_t1,q07,4,10,7.86218629,7.85
appian_t1,q07,4,20,7.85,7.85
appian_t1,q08,1,1,29.6695,29.15
appian_t1,q08,1,2,29.4786842,29.15
appian_t1,q08,1,3,29.3844649,29.15
appian_t1,q08,1,5,29.2840157,29.15
appian_t1,q08,1,10,29.1931499,29.15
appian_t1,q08,1,20,29.15,29.15
appian_t1,q08,2,1,29.8035,29.31
appian_t1,q08,2,2,29.6008947,29.31
appian_t1,q08,2,3,29.5132018,29.31
appian_t1,q08,2,5,29.4351264,29.31
appian_t1,q08,2,10,29.3550074,29.31
appian_t1,q08,2,20,29.31,29.31
appian_t1,q08,3,1,30.675,29.77
appian_t1,q08,3,2,30.4375789,29.77
appian_t1,q08,3,3,30.3270877,29.77
appian_t1,q08,3,5,30.2111391,29.77
appian_t1,q08,3,10,30.0384569,29.77
appian_t1,q08,3,20,29.77,29.77
appian_t1,q08,4,1,29.6975,29.13
appian_t1,q08,4,2,29.4978947,29.13
appian_t1,q08,4,3,29.4075263,29.13
appian_t1,q08,4,5,29.3120472,29.13
appian_t1,q08,4,10,29.2048312,29.13
appian_t1,q08,4,20,29.13,29.13
job_t1,1a,1,1,0.4555,0.19
job_t1,1a,1,2,0.366947368,0.19
job_t1,1a,1,3,0.31827193,0.19
job_t1,1a,1,5,0.266605392,0.19
job_t1,1a,1,10,0.210317933,0.19
job_t1,1a,1,20,0.19,0.19
job_t1,1a,2,1,0.1665,0.16
job_t1,1a,2,2,0.163473684,0.16
job_t1,1a,2,3,0.161929825,0.16
job_t1,1a,2,5,0.160510836,0.16
job_t1,1a,2,10,0.160003572,0.16
job_t1,1a,2,20,0.16,0.16
job_t1,1a,3,1,0.166,0.16
job_t1,1a,3,2,0.163473684,0.16
job_t1,1a,3,3,0.161929825,0.16
job_t1,1a,3,5,0.160510836,0.16
job_t1,1a,3,10,0.160003572,0.16
job_t1,1a,3,20,0.16,0.16
job_t1,1a,4,1,0.158,0.15
job_t1,1a,4,2,0.152947368,0.15
job_t1,1a,4,3,0.150982456,0.15
job_t1,1a,4,5,0.150072239,0.15
job_t1,1a,4,10,0.15,0.15
job_t1,1a,4,20,0.15,0.15
job_t1,1b,1,1,0.457,0.15
job_t1,1b,1,2,0.318315789,0.15
job_t1,1b,1,3,0.266763158,0.15
job_t1,1b,1,5,0.218036636,0.15
job_t1,1b,1,10,0.166919505,0.15
job_t1,1b,1,20,0.15,0.15
job_t1,1b,2,1,0.117,0.1
job_t1,1b,2,2,0.108105263,0.1
job_t1,1b,2,3,0.107157895,0.1
job_t1,1b,2,5,0.105526316,0.1
job_t1,1b,2,10,0.102368421,0.1
job_t1,1b,2,20,0.1,0.1
job_t1,1b,3,1,0.1195,0.11
job_t1,1b,3,2,0.110526316,0.11
job_t1,1b,3,3,0.110087719,0.11
job_t1,1b,3,5,0.110000645,0.11
job_t1,1b,3,10,0.11,0.11
job_t1,1b,3,20,0.11,0.11
job_t1,1b,4,1,0.1065,0.1
job_t1,1b,4,2,0.102210526,0.1
job_t1,1b,4,3,0.10077193,0.1
job_t1,1b,4,5,0.100081269,0.1
job_t1,1b,4,10,0.1,0.1
job_t1,1b,4,20,0.1,0.1
job_t1,1c,1,1,0.293,0.13
job_t1,1c,1,2,0.234421053,0.13
job_t1,1c,1,3,0.204614035,0.13
job_t1,1c,1,5,0.174192466,0.13
job_t1,1c,1,10,0.140975286,0.13
job_t1,1c,1,20,0.13,0.13
job_t1,1c,2,1,0.1775,0.12
job_t1,1c,2,2,0.151578947,0.12
job_t1,1c,2,3,0.137403509,0.12
job_t1,1c,2,5,0.124597523,0.12
job_t1,1c,2,10,0.120032151,0.12
job_t1,1c,2,20,0.12,0.12
job_t1,1c,3,1,0.1775,0.11
job_t1,1c,3,2,0.150789474,0.11
job_t1,1c,3,3,0.13595614,0.11
job_t1,1c,3,5,0.122098168,0.11
job_t1,1c,3,10,0.115032151,0.11
job_t1,1c,3,20,0.11,0.11
job_t1,1c,4,1,0.1745,0.12
job_t1,1c,4,2,0.151263158,0.12
job_t1,1c,4,3,0.137368421,0.12
job_t1,1c,4,5,0.124597523,0.12
job_t1,1c,4,10,0.120032151,0.12
job_t1,1c,4,20,0.12,0.12
job_t1,1d,1,1,0.522,0.15
job_t1,1d,1,2,0.360157895,0.15
job_t1,1d,1,3,0.293903509,0.15
job_t1,1d,1,5,0.233243034,0.15
job_t1,1d,1,10,0.171110383,0.15
job_t1,1d,1,20,0.15,0.15
job_t1,1d,2,1,0.127,0.11
job_t1,1d,2,2,0.111894737,0.11
job_t1,1d,2,3,0.110736842,0.11
job_t1,1d,2,5,0.110081269,0.11
job_t1,1d,2,10,0.11,0.11
job_t1,1d,2,20,0.11,0.11
job_t1,1d,3,1,0.1275,0.11
job_t1,1d,3,2,0.112368421,0.11
job_t1,1d,3,3,0.111052632,0.11
job_t1,1d,3,5,0.110162539,0.11
job_t1,1d,3,10,0.110000054,0.11
job_t1,1d,3,20,0.11,0.11
job_t1,1d,4,1,0.113,0.1
job_t1,1d,4,2,0.109526316,0.1
job_t1,1d,4,3,0.107649123,0.1
job_t1,1d,4,5,0.105562436,0.1
job_t1,1d,4,10,0.102368421,0.1
job_t1,1d,4,20,0.1,0.1
job_t1,2a,1,1,0.771,0.52
job_t1,2a,1,2,0.624736842,0.52
job_t1,2a,1,3,0.585780702,0.52
job_t1,2a,1,5,0.55378999,0.52
job_t1,2a,1,10,0.530475763,0.52
job_t1,2a,1,20,0.52,0.52
job_t1,2a,2,1,0.3805,0.33
job_t1,2a,2,2,0.346473684,0.33
job_t1,2a,2,3,0.33904386,0.33
job_t1,2a,2,5,0.333945433,0.33
job_t1,2a,2,10,0.330449512,0.33
job_t1,2a,2,20,0.33,0.33
job_t1,2a,3,1,0.38,0.32
job_t1,2a,3,2,0.344684211,0.32
job_t1,2a,3,3,0.336526316,0.32
job_t1,2a,3,5,0.330458591,0.32
job_t1,2a,3,10,0.325169683,0.32
job_t1,2a,3,20,0.32,0.32
job_t1,2a,4,1,0.3095,0.29
job_t1,2a,4,2,0.300894737,0.29
job_t1,2a,4,3,0.297122807,0.29
job_t1,2a,4,5,0.294067337,0.29
job_t1,2a,4,10,0.291052632,0.29
job_t1,2a,4,20,0.29,0.29
job_t1,2b,1,1,0.767,0.51
job_t1,2b,1,2,0.617684211,0.51
job_t1,2b,1,3,0.578324561,0.51
job_t1,2b,1,5,0.545774639,0.51
job_t1,2b,1,10,0.520917534,0.51
job_t1,2b,1,20,0.51,0.51
job_t1,2b,2,1,0.3595,0.3
job_t1,2b,2,2,0.322157895,0.3
job_t1,2b,2,3,0.313210526,0.3
job_t1,2b,2,5,0.307059469,0.3
job_t1,2b,2,10,0.302379138,0.3
job_t1,2b,2,20,0.3,0.3
job_t1,2b,3,1,0.3585,0.3
job_t1,2b,3,2,0.321842105,0.3
job_t1,2b,3,3,0.313149123,0.3
job_t1,2b,3,5,0.307058824,0.3
job_t1,2b,3,10,0.302379138,0.3
job_t1,2b,3,20,0.3,0.3
job_t1,2b,4,1,0.2975,0.29
job_t1,2b,4,2,0.292578947,0.29
job_t1,2b,4,3,0.290798246,0.29
job_t1,2b,4,5,0.290049665,0.29
job_t1,2b,4,10,0.29,0.29
job_t1,2b,4,20,0.29,0.29
job_t1,2c,1,1,0.661,0.3
job_t1,2c,1,2,0.496368421,0.3
job_t1,2c,1,3,0.426570175,0.3
job_t1,2c,1,5,0.360930728,0.3
job_t1,2c,1,10,0.312673905,0.3
job_t1,2c,1,20,0.3,0.3
job_t1,2c,2,1,0.1435,0.07
job_t1,2c,2,2,0.0832631579,0.07
job_t1,2c,2,3,0.0735701754,0.07
job_t1,2c,2,5,0.0706037152,0.07
job_t1,2c,2,10,0.0700011908,0.07
job_t1,2c,2,20,0.07,0.07
job_t1,2c,3,1,0.145,0.07
job_t1,2c,3,2,0.0839473684,0.07
job_t1,2c,3,3,0.0740614035,0.07
job_t1,2c,3,5,0.0708165635,0.07
job_t1,2c,3,10,0.0700041677,0.07
job_t1,2c,3,20,0.07,0.07
job_t1,2c,4,1,0.087,0.07
job_t1,2c,4,2,0.0769473684,0.07
job_t1,2c,4,3,0.0727368421,0.07
job_t1,2c,4,5,0.0703837719,0.07
job_t1,2c,4,10,0.0700005954,0.07
job_t1,2c,4,20,0.07,0.07
job_t1,2d,1,1,0.841,0.56
job_t1,2d,1,2,0.643052632,0.56
job_t1,2d,1,3,0.606763158,0.56
job_t1,2d,1,5,0.578933824,0.56
job_t1,2d,1,10,0.563950941,0.56
job_t1,2d,1,20,0.56,0.56
job_t1,2d,2,1,0.5975,0.45
job_t1,2d,2,2,0.527368421,0.45
job_t1,2d,2,3,0.496342105,0.45
job_t1,2d,2,5,0.472428406,0.45
job_t1,2d,2,10,0.455630561,0.45
job_t1,2d,2,20,0.45,0.45
job_t1,2d,3,1,0.599,0.47
job_t1,2d,3,2,0.533157895,0.47
job_t1,2d,3,3,0.504429825,0.47
job_t1,2d,3,5,0.48370485,0.47
job_t1,2d,3,10,0.472318409,0.47
job_t1,2d,3,20,0.47,0.47
job_t1,2d,4,1,0.385,0.33
job_t1,2d,4,2,0.349052632,0.33
job_t1,2d,4,3,0.33754386,0.33
job_t1,2d,4,5,0.331638287,0.33
job_t1,2d,4,10,0.33005418,0.33
job_t1,2d,4,20,0.33,0.33
job_t1,3a,1,1,1.9125,1.86
job_t1,3a,1,2,1.90036842,1.86
job_t1,3a,1,3,1.89499123,1.86
job_t1,3a,1,5,1.88855134,1.86
job_t1,3a,1,10,1.87737199,1.86
job_t1,3a,1,20,1.86,1.86
job_t1,3a,2,1,1.264,1.12
job_t1,3a,2,2,1.23247368,1.12
job_t1,3a,2,3,1.20734211,1.12
job_t1,3a,2,5,1.17055341,1.12
job_t1,3a,2,10,1.12904799,1.12
job_t1,3a,2,20,1.12,1.12
job_t1,3a,3,1,1.259,1.11
job_t1,3a,3,2,1.22652632,1.11
job_t1,3a,3,3,1.20151754,1.11
job_t1,3a,3,5,1.16504644,1.11
job_t1,3a,3,10,1.12260836,1.11
job_t1,3a,3,20,1.11,1.11
job_t1,3a,4,1,1.171,1.11
job_t1,3a,4,2,1.15863158,1.11
job_t1,3a,4,3,1.14947368,1.11
job_t1,3a,4,5,1.13623646,1.11
job_t1,3a,4,10,1.11926471,1.11
job_t1,3a,4,20,1.11,1.11
job_t1,3b,1,1,0.9345,0.87
job_t1,3b,1,2,0.919631579,0.87
job_t1,3b,1,3,0.910061404,0.87
job_t1,3b,1,5,0.8974742,0.87
job_t1,3b,1,10,0.882097523,0.87
job_t1,3b,1,20,0.87,0.87
job_t1,3b,2,1,0.989,0.95
job_t1,3b,2,2,0.978210526,0.95
job_t1,3b,2,3,0.972552632,0.95
job_t1,3b,2,5,0.96556824,0.95
job_t1,3b,2,10,0.955793046,0.95
job_t1,3b,2,20,0.95,0.95
job_t1,3b,3,1,0.9915,0.94
job_t1,3b,3,2,0.978,0.94
job_t1,3b,3,3,0.970640351,0.94
job_t1,3b,3,5,0.9612113,0.94
job_t1,3b,3,10,0.948908669,0.94
job_t1,3b,3,20,0.94,0.94
job_t1,3b,4,1,0.982,0.93
job_t1,3b,4,2,0.970105263,0.93
job_t1,3b,4,3,0.963061404,0.93
job_t1,3b,4,5,0.953243679,0.93
job_t1,3b,4,10,0.939636818,0.93
job_t1,3b,4,20,0.93,0.93
job_t1,3c,1,1,2.2515,2.13
job_t1,3c,1,2,2.20994737,2.13
job_t1,3c,1,3,2.18900877,2.13
job_t1,3c,1,5,2.16595137,2.13
job_t1,3c,1,10,2.14210591,2.13
job_t1,3c,1,20,2.13,2.13
job_t1,3c,2,1,1.3695,1.19
job_t1,3c,2,2,1.32989474,1.19
job_t1,3c,2,3,1.29898246,1.19
job_t1,3c,2,5,1.25437113,1.19
job_t1,3c,2,10,1.2036723,1.19
job_t1,3c,2,20,1.19,1.19
job_t1,3c,3,1,1.365,1.19
job_t1,3c,3,2,1.32436842,1.19
job_t1,3c,3,3,1.29331579,1.19
job_t1,3c,3,5,1.24889383,1.19
job_t1,3c,3,10,1.19934211,1.19
job_t1,3c,3,20,1.19,1.19
job_t1,3c,4,1,1.2215,1.18
job_t1,3c,4,2,1.21236842,1.18
job_t1,3c,4,3,1.20657018,1.18
job_t1,3c,4,5,1.19882353,1.18
job_t1,3c,4,10,1.18823535,1.18
job_t1,3c,4,20,1.18,1.18
job_t1,4a,1,1,0.679,0.39
job_t1,4a,1,2,0.548,0.39
job_t1,4a,1,3,0.482587719,0.39
job_t1,4a,1,5,0.425716589,0.39
job_t1,4a,1,10,0.394931748,0.39
job_t1,4a,1,20,0.39,0.39
job_t1,4a,2,1,0.398,0.35
job_t1,4a,2,2,0.379473684,0.35
job_t1,4a,2,3,0.368921053,0.35
job_t1,4a,2,5,0.3586984,0.35
job_t1,4a,2,10,0.352398785,0.35
job_t1,4a,2,20,0.35,0.35
job_t1,4a,3,1,0.3985,0.35
job_t1,4a,3,2,0.379526316,0.35
job_t1,4a,3,3,0.368745614,0.35
job_t1,4a,3,5,0.358575851,0.35
job_t1,4a,3,10,0.352398244,0.35
job_t1,4a,3,20,0.35,0.35
job_t1,4a,4,1,0.2975,0.29
job_t1,4a,4,2,0.295526316,0.29
job_t1,4a,4,3,0.293991228,0.29
job_t1,4a,4,5,0.29193692,0.29
job_t1,4a,4,10,0.290162539,0.29
job_t1,4a,4,20,0.29,0.29
job_t1,4b,1,1,0.3625,0.24
job_t1,4b,1,2,0.317473684,0.24
job_t1,4b,1,3,0.294482456,0.24
job_t1,4b,1,5,0.271323529,0.24
job_t1,4b,1,10,0.247546494,0.24
job_t1,4b,1,20,0.24,0.24
job_t1,4b,2,1,0.273,0.23
job_t1,4b,2,2,0.253684211,0.23
job_t1,4b,2,3,0.244333333,0.23
job_t1,4b,2,5,0.236071336,0.23
job_t1,4b,2,10,0.231066921,0.23
job_t1,4b,2,20,0.23,0.23
job_t1,4b,3,1,0.2745,0.23
job_t1,4b,3,2,0.255421053,0.23
job_t1,4b,3,3,0.245789474,0.23
job_t1,4b,3,5,0.23686468,0.23
job_t1,4b,3,10,0.231117528,0.23
job_t1,4b,3,20,0.23,0.23
job_t1,4b,4,1,0.2655,0.23
job_t1,4b,4,2,0.251894737,0.23
job_t1,4b,4,3,0.24427193,0.23
job_t1,4b,4,5,0.236353844,0.23
job_t1,4b,4,10,0.231078828,0.23
job_t1,4b,4,20,0.23,0.23
job_t1,4c,1,1,0.913,0.47
job_t1,4c,1,2,0.705210526,0.47
job_t1,4c,1,3,0.608745614,0.47
job_t1,4c,1,5,0.52754773,0.47
job_t1,4c,1,10,0.47979205,0.47
job_t1,4c,1,20,0.47,0.47
job_t1,4c,2,1,0.494,0.41
job_t1,4c,2,2,0.459736842,0.41
job_t1,4c,2,3,0.439429825,0.41
job_t1,4c,2,5,0.420029025,0.41
job_t1,4c,2,10,0.410631752,0.41
job_t1,4c,2,20,0.41,0.41
job_t1,4c,3,1,0.493,0.41
job_t1,4c,3,2,0.460421053,0.41
job_t1,4c,3,3,0.441210526,0.41
job_t1,4c,3,5,0.423417183,0.41
job_t1,4c,3,10,0.41503989,0.41
job_t1,4c,3,20,0.41,0.41
job_t1,4c,4,1,0.3365,0.33
job_t1,4c,4,2,0.332947368,0.33
job_t1,4c,4,3,0.331447368,0.33
job_t1,4c,4,5,0.330297988,0.33
job_t1,4c,4,10,0.330000595,0.33
job_t1,4c,4,20,0.33,0.33
job_t1,5a,1,1,1.8595,1.69
job_t1,5a,1,2,1.79152632,1.69
job_t1,5a,1,3,1.7552193,1.69
job_t1,5a,1,5,1.72218976,1.69
job_t1,5a,1,10,1.70178706,1.69
job_t1,5a,1,20,1.69,1.69
job_t1,5a,2,1,0.1055,0.08
job_t1,5a,2,2,0.083,0.08
job_t1,5a,2,3,0.0807368421,0.08
job_t1,5a,2,5,0.0800812693,0.08
job_t1,5a,2,10,0.08,0.08
job_t1,5a,2,20,0.08,0.08
job_t1,5a,3,1,0.1065,0.08
job_t1,5a,3,2,0.0834736842,0.08
job_t1,5a,3,3,0.0810526316,0.08
job_t1,5a,3,5,0.0801625387,0.08
job_t1,5a,3,10,0.0800000541,0.08
job_t1,5a,3,20,0.08,0.08
job_t1,5a,4,1,0.084,0.08
job_t1,5a,4,2,0.0814736842,0.08
job_t1,5a,4,3,0.0804912281,0.08
job_t1,5a,4,5,0.0800361197,0.08
job_t1,5a,4,10,0.08,0.08
job_t1,5a,4,20,0.08,0.08
job_t1,5b,1,1,1.192,1.07
job_t1,5b,1,2,1.14431579,1.07
job_t1,5b,1,3,1.11895614,1.07
job_t1,5b,1,5,1.09504321,1.07
job_t1,5b,1,10,1.0784315,1.07
job_t1,5b,1,20,1.07,1.07
job_t1,5b,2,1,0.1595,0.08
job_t1,5b,2,2,0.123315789,0.08
job_t1,5b,2,3,0.103649123,0.08
job_t1,5b,2,5,0.0861661507,0.08
job_t1,5b,2,10,0.0800428673,0.08
job_t1,5b,2,20,0.08,0.08
job_t1,5b,3,1,0.159,0.08
job_t1,5b,3,2,0.122684211,0.08
job_t1,5b,3,3,0.103333333,0.08
job_t1,5b,3,5,0.0861339009,0.08
job_t1,5b,3,10,0.0800428673,0.08
job_t1,5b,3,20,0.08,0.08
job_t1,5b,4,1,0.1545,0.08
job_t1,5b,4,2,0.122210526,0.08
job_t1,5b,4,3,0.103245614,0.08
job_t1,5b,4,5,0.086130676,0.08
job_t1,5b,4,10,0.0800428673,0.08
job_t1,5b,4,20,0.08,0.08
job_t1,5c,1,1,2.204,2.02
job_t1,5c,1,2,2.12868421,2.02
job_t1,5c,1,3,2.09102632,2.02
job_t1,5c,1,5,2.05854425,2.02
job_t1,5c,1,10,2.03573307,2.02
job_t1,5c,1,20,2.02,2.02
job_t1,5c,2,1,1.1465,1.09
job_t1,5c,2,2,1.11942105,1.09
job_t1,5c,2,3,1.11037719,1.09
job_t1,5c,2,5,1.10183179,1.09
job_t1,5c,2,10,1.09522386,1.09
job_t1,5c,2,20,1.09,1.09
job_t1,5c,3,1,1.146,1.09
job_t1,5c,3,2,1.11915789,1.09
job_t1,5c,3,3,1.10994737,1.09
job_t1,5c,3,5,1.10073852,1.09
job_t1,5c,3,10,1.09286318,1.09
job_t1,5c,3,20,1.09,1.09
job_t1,5c,4,1,1.109,1.09
job_t1,5c,4,2,1.10336842,1.09
job_t1,5c,4,3,1.1004386,1.09
job_t1,5c,4,5,1.09681824,1.09
job_t1,5c,4,10,1.0924226,1.09
job_t1,5c,4,20,1.09,1.09
job_t1,6a,1,1,3.794,0.5
job_t1,6a,1,2,1.04947368,0.5
job_t1,6a,1,3,0.596798246,0.5
job_t1,6a,1,5,0.508831914,0.5
job_t1,6a,1,10,0.500446535,0.5
job_t1,6a,1,20,0.5,0.5
job_t1,6a,2,1,0.541,0.48
job_t1,6a,2,2,0.522631579,0.48
job_t1,6a,2,3,0.510736842,0.48
job_t1,6a,2,5,0.497364551,0.48
job_t1,6a,2,10,0.485936641,0.48
job_t1,6a,2,20,0.48,0.48
job_t1,6a,3,1,0.5405,0.48
job_t1,6a,3,2,0.520473684,0.48
job_t1,6a,3,3,0.508114035,0.48
job_t1,6a,3,5,0.494280831,0.48
job_t1,6a,3,10,0.482964505,0.48
