dataset_id,benchmark,suite,scale_factor,threads,commit,runtime_csv,median_csv,profiling_dir,boxplot_dir,profile_prefix,timeout_seconds,row_count,query_count,seed_count,success_count,timeout_count,oom_count,profile_json_count
tpcds_sf20_t8,TPCDS SF20,tpcds,20,8,d043edd72e617b0612ba800835c7450c94e60ca6,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf20_20260709_165540.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf20_20260709_165540_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260709_165540,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf20_20260709_165540,tpcds,300,7920,99,20,7840,80,0,7840
tpcds_sf50_t8,TPCDS SF50,tpcds,50,8,d043edd72e617b0612ba800835c7450c94e60ca6,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf50_20260710_020719.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf50_20260710_020719_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260710_020719,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf50_20260710_020719,tpcds,300,7920,99,20,7834,86,0,7834
tpcds_sf100_t8,TPCDS SF100,tpcds,100,8,d043edd72e617b0612ba800835c7450c94e60ca6,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf100_20260710_151859.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf100_20260710_151859_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260710_151859,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf100_20260710_151859,tpcds,300,7920,99,20,7803,117,0,7803
appian_t64,appian,appian,,64,b0b9a94fe5,/home/hugo/code/results-spy/results/appian/appian_runtimes_20260704_180605.csv,/home/hugo/code/results-spy/results/appian/appian_runtimes_20260704_180605_median.csv,/home/hugo/code/results-spy/results/appian/profiling_20260704_180605,/home/hugo/code/results-spy/results/appian/boxplots_appian_runtimes_20260704_180605,appian,60,640,8,20,640,0,0,640
job_t64,job,job,,64,b0b9a94fe5,/home/hugo/code/results-spy/results/job/job_runtimes_20260704_181648.csv,/home/hugo/code/results-spy/results/job/job_runtimes_20260704_181648_median.csv,/home/hugo/code/results-spy/results/job/profiling_20260704_181648,/home/hugo/code/results-spy/results/job/boxplots_job_runtimes_20260704_181648,job,300,9040,113,20,9040,0,0,8960
tpch_sf10_t64,TPCH SF10,tpch,10,64,b0b9a94fe5,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf10_20260704_194639.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf10_20260704_194639_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260704_194639,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf10_20260704_194639,tpch,300,1760,22,20,1748,12,0,1748
tpch_sf20_t64,TPCH SF20,tpch,20,64,b0b9a94fe5,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf20_20260704_213955.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf20_20260704_213955_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260704_213955,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf20_20260704_213955,tpch,300,1760,22,20,1736,24,0,1736
tpch_sf50_t64,TPCH SF50,tpch,50,64,b0b9a94fe5,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf50_20260705_001105.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf50_20260705_001105_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260705_001105,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf50_20260705_001105,tpch,300,1760,22,20,1736,24,0,1736
tpch_sf100_t64,TPCH SF100,tpch,100,64,b0b9a94fe5,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf100_20260705_031540.csv,/home/hugo/code/results-spy/results/tpch/tpch_runtimes_sf100_20260705_031540_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260705_031540,/home/hugo/code/results-spy/results/tpch/boxplots_tpch_runtimes_sf100_20260705_031540,tpch,300,1760,22,20,1736,24,0,1736
tpcds_sf10_t64,TPCDS SF10,tpcds,10,64,6e24bd2df0,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf10_20260706_022300.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf10_20260706_022300_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260706_022300,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf10_20260706_022300,tpcds,300,7920,99,20,7840,80,0,7840
tpcds_sf20_t64,TPCDS SF20,tpcds,20,64,6e24bd2df0,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf20_20260706_123535.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf20_20260706_123535_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260706_123535,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf20_20260706_123535,tpcds,300,7920,99,20,7840,80,0,7840
tpcds_sf50_t64,TPCDS SF50,tpcds,50,64,6e24bd2df0,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf50_20260706_212742.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf50_20260706_212742_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260706_212742,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf50_20260706_212742,tpcds,300,7920,99,20,7840,80,0,7840
tpcds_sf100_t64,TPCDS SF100,tpcds,100,64,6e24bd2df0,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf100_20260707_090359.csv,/home/hugo/code/results-spy/results/tpch/tpcds_runtimes_sf100_20260707_090359_median.csv,/home/hugo/code/results-spy/results/tpch/profiling_20260707_090359,/home/hugo/code/results-spy/results/tpch/boxplots_tpcds_runtimes_sf100_20260707_090359,tpcds,300,7920,99,20,7834,86,0,7834
