query,case,seed,runtime_seconds
rs,1,0,0.628000
rs,1,1,0.656000
rs,1,2,0.617000
rs,1,3,0.656000
rs,1,4,0.642000
rs,1,5,0.659000
rs,1,6,0.641000
rs,1,7,0.652000
rs,1,8,0.621000
rs,1,9,0.640000
rs,1,10,0.659000
rs,1,11,0.644000
rs,1,12,0.634000
rs,1,13,0.640000
rs,1,14,0.655000
rs,1,15,0.652000
rs,1,16,0.632000
rs,1,17,0.657000
rs,1,18,0.665000
rs,1,19,0.615000
rs,2,0,0.974000
rs,2,1,0.975000
rs,2,2,0.963000
rs,2,3,0.966000
rs,2,4,0.987000
rs,2,5,0.965000
rs,2,6,0.979000
rs,2,7,0.958000
rs,2,8,0.924000
rs,2,9,0.979000
rs,2,10,0.979000
rs,2,11,0.971000
rs,2,12,0.961000
rs,2,13,0.961000
rs,2,14,0.978000
rs,2,15,0.963000
rs,2,16,0.974000
rs,2,17,0.990000
rs,2,18,0.981000
rs,2,19,0.954000
rs,3,0,0.968000
rs,3,1,0.932000
rs,3,2,0.932000
rs,3,3,0.963000
rs,3,4,0.973000
rs,3,5,0.972000
rs,3,6,0.988000
rs,3,7,0.956000
rs,3,8,0.960000
rs,3,9,0.985000
rs,3,10,0.950000
rs,3,11,0.977000
rs,3,12,0.954000
rs,3,13,0.975000
rs,3,14,0.956000
rs,3,15,0.971000
rs,3,16,0.956000
rs,3,17,0.918000
rs,3,18,0.924000
rs,3,19,1.000000
rs,4,0,0.556000
rs,4,1,0.543000
rs,4,2,0.546000
rs,4,3,0.575000
rs,4,4,0.541000
rs,4,5,0.572000
rs,4,6,0.548000
rs,4,7,0.557000
rs,4,8,0.574000
rs,4,9,0.560000
rs,4,10,0.542000
rs,4,11,0.560000
rs,4,12,0.571000
rs,4,13,0.569000
rs,4,14,0.530000
rs,4,15,0.540000
rs,4,16,0.542000
rs,4,17,0.531000
rs,4,18,0.564000
rs,4,19,0.543000
