query,case,seed,runtime_seconds
q01,1,,0.56
q02,1,,2.20
q03,1,,1.15
q04,1,,3.74
q05,1,,0.96
q06,1,,1.10
q07,1,,1.21
q08,1,,5.18
q01,2,,0.57
q02,2,,2.18
q03,2,,1.09
q04,2,,3.78
q05,2,,0.95
q06,2,,1.07
q07,2,,1.22
q08,2,,5.18
q01,3,,0.56
q02,3,,2.57
q03,3,,1.32
q04,3,,4.15
q05,3,,0.96
q06,3,,1.36
q07,3,,1.34
q08,3,,5.46
q01,4,,0.56
q02,4,,2.19
q03,4,,1.10
q04,4,,3.80
q05,4,,0.94
q06,4,,1.07
q07,4,,1.24
q08,4,,5.19
